Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,280,336,273,424,559,752,980,1253
  └─ Sales Growth %,,19.70%,-18.61%,55.31%,31.75%,34.54%,30.29%,27.92%
Expenses,179,225,196,240,310,421,539,667
  └─ Manufacturing Cost %,2.19%,2.93%,3.36%,2.14%,1.74%,2.07%,1.73%,1.57%
  └─ Employee Cost %,47.18%,49.66%,55.23%,45.32%,43.30%,42.89%,42.90%,42.31%
  └─ Other Cost %,14.38%,14.49%,13.08%,9.17%,10.42%,10.97%,10.38%,9.37%
Operating Profit,102,110,77,184,249,331,441,586
OPM %,36%,33%,28%,43%,45%,44%,45%,47%
Other Income,4,1,6,1,0,0,1,0
  └─ Exceptional items,0.00,0.00,0.00,0.48,0.00,0.00,0.56,0.55
  └─ Other income normal,3.86,0.86,6.14,0.81,0.08,0.14,0.43,-0.22
Interest,6,3,3,2,4,6,12,16
Depreciation,16,21,18,16,17,19,25,34
Profit before tax,83,87,63,168,228,306,405,536
Tax %,30%,29%,29%,24%,26%,26%,26%,26%
Net Profit,58,62,45,127,169,226,301,397
  └─ Minority share,1,-0,-0,-0,-0,-1,-1,-2
  └─ Exceptional items AT,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,58,62,45,126,169,226,300,397
  └─ Profit for PE,59,61,45,126,168,225,299,395
  └─ Profit for EPS,59,61,45,126,168,225,300,396
  └─ Profit Growth %,,4%,-27%,183%,34%,34%,33%,32%
EPS in Rs,5.50,5.67,4.06,7.60,10.10,13.44,18.05,23.83
Dividend Payout %,0%,0%,31%,36%,30%,26%,39%,27%
