Metric,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM
Sales,1312,1194,1221,1638,1090,1190,1142,910,798,781,480,245,109
  └─ Sales Growth %,46.22%,-8.99%,2.26%,34.13%,-33.43%,9.17%,-4.07%,-20.32%,-12.23%,-2.22%,-38.48%,-48.95%,
Expenses,1293,1294,1238,1497,1179,1098,1070,908,809,851,518,300,182
  └─ Material Cost %,61%,69%,65%,62%,79%,65%,68%,70%,68%,73%,71%,63%,
    └─ Raw material cost,858,761,750,1114,788,795,806,592,539,570,321,141,
    └─ Change in inventory,-60,63,39,-94,74,-26,-26,46,8,-2,22,13,
  └─ Manufacturing Cost %,16%,13%,14%,10%,12%,14%,13%,15%,15%,16%,16%,25%,
  └─ Employee Cost %,11%,11%,10%,7%,8%,8%,8%,10%,11%,12%,15%,26%,
  └─ Other Cost %,11%,15%,13%,11%,8%,6%,4%,5%,6%,8%,5%,9%,
Operating Profit,19,-100,-17,141,-89,92,71,2,-10,-71,-37,-55,-73
OPM %,1%,-8%,-1%,9%,-8%,8%,6%,0%,-1%,-9%,-8%,-22%,-67%
Other Income,114,42,128,28,-9,29,15,19,9,-162,-47,51,50
  └─ Exceptional items,-2.80,-5.38,32.32,7.22,-16.87,1.29,-1.11,0.83,0.00,-241.19,-59.20,4.28,
  └─ Other income normal,116.62,47.80,95.48,21.18,7.68,27.66,16.31,17.94,9.20,78.99,12.14,46.35,
Interest,93,98,80,93,97,89,92,90,89,62,21,22,14
Depreciation,75,79,75,74,78,75,22,15,15,14,11,10,10
Profit before tax,-35,-234,-45,2,-274,-43,-28,-85,-105,-309,-116,-36,-48
Tax %,-32%,4%,0%,0%,1%,0%,0%,1%,0%,0%,-0%,0%,
Net Profit,-24,-243,-45,2,-277,-43,-28,-86,-105,-309,-115,-36,-48
  └─ Minority share,1.88,7.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Exceptional items AT,-2.80,-5.19,32.32,7.22,-16.87,1.29,-1.11,0.83,0.00,-241.19,-59.20,4.28,
  └─ Profit excl Excep,-20.82,-238.01,-77.40,-5.47,-259.83,-44.58,-27.18,-86.64,-104.77,-68.05,-56.25,-40.65,
  └─ Profit for PE,-19.16,-231.14,-77.40,-5.47,-259.83,-44.58,-27.18,-86.64,-104.77,-68.05,-56.25,-40.65,
  └─ Profit for EPS,-21.74,-236.18,-45.08,1.75,-276.70,-43.29,-28.29,-85.81,-104.77,-309.24,-115.45,-36.37,
  └─ Profit Growth %,-251.89%,-1106.19%,66.51%,92.93%,-4650.09%,82.84%,39.03%,-218.76%,-20.93%,35.05%,17.34%,27.73%,
EPS in Rs,-3.04,-33.05,-6.11,0.22,-33.23,-4.90,-3.15,-9.56,-11.67,-34.45,-12.86,-4.05,-5.33
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
