Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,828,816,852,910,1133,1203,1149,1201,1459,1550,1723,1987
  └─ Sales Growth %,12.84%,-1.43%,4.44%,6.79%,24.52%,6.16%,-4.51%,4.53%,21.49%,6.22%,11.19%,15.31%
Expenses,742,737,769,827,998,1078,1005,1007,1215,1304,1492,1616
  └─ Material Cost %,1%,1%,1%,1%,1%,1%,1%,0%,0%,0%,0%,0%
    └─ Raw material cost,9.86,5.89,9.31,9.61,11.15,16.99,10.51,0.83,3.64,2.17,3.38,1.47
  └─ Manufacturing Cost %,3%,3%,4%,6%,5%,7%,6%,6%,10%,8%,10%,0%
  └─ Employee Cost %,55%,62%,60%,62%,61%,64%,67%,65%,61%,64%,65%,62%
  └─ Other Cost %,30%,25%,25%,22%,21%,16%,14%,12%,12%,12%,12%,19%
Operating Profit,86,79,84,83,135,125,144,194,244,246,232,372
OPM %,10%,10%,10%,9%,12%,10%,12%,16%,17%,16%,13%,19%
Other Income,6,14,15,27,12,5,10,35,39,45,78,-9
  └─ Exceptional items,2,1,-0,4,2,-14,1,14,10,10,53,-65
  └─ Other income normal,4,12,15,23,10,19,9,21,29,35,25,56
Interest,7,7,6,5,6,6,5,4,4,4,12,19
Depreciation,21,27,24,20,26,37,39,33,35,36,48,84
Profit before tax,64,58,69,84,115,88,109,192,243,251,249,260
Tax %,24%,24%,8%,15%,26%,30%,23%,19%,24%,21%,18%,25%
Net Profit,49,45,64,72,84,62,84,155,185,197,206,195
  └─ Profit from Associates,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Minority share,-5,0,1,-7,-10,2,-4,2,4,1,-0,-1
  └─ Exceptional items AT,2,-1,-0,3,1,-9,1,11,7,8,43,-45
  └─ Profit excl Excep,47,46,64,68,83,71,83,144,178,189,162,240
  └─ Profit for PE,42,46,65,61,73,73,79,146,182,190,162,239
  └─ Profit for EPS,43,45,65,64,75,64,80,157,189,198,205,194
  └─ Profit Growth %,-12%,9%,43%,-6%,20%,-0%,8%,85%,24%,5%,-15%,48%
EPS in Rs,7.33,7.60,11.06,10.87,12.64,10.81,13.53,26.71,32.05,33.59,34.69,32.86
Dividend Payout %,14%,10%,7%,7%,10%,0%,0%,14%,16%,15%,14%,15%
