Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,2482,2602,2738,3091,2985,3462,4647,4397,4317,4142,4113
  └─ Sales Growth %,,4.85%,5.20%,12.91%,-3.46%,16.01%,34.23%,-5.39%,-1.81%,-4.06%,-0.69%
Expenses,2075,2039,2253,2487,2536,2472,3624,4105,3732,3666,3435
  └─ Material Cost %,65%,61%,64%,61%,64%,55%,60%,69%,62%,64%,58%
    └─ Raw material cost,1591,1644,1798,1964,2021,1922,2778,2885,2737,2613,2660
    └─ Change in inventory,33,-59,-52,-71,-109,-21,33,150,-40,25,-263
  └─ Manufacturing Cost %,10%,9%,11%,11%,11%,8%,10%,15%,14%,14%,0%
  └─ Employee Cost %,4%,4%,4%,4%,5%,5%,4%,4%,5%,5%,6%
  └─ Other Cost %,4%,4%,4%,4%,5%,3%,3%,5%,5%,5%,19%
Operating Profit,407,563,484,604,448,990,1023,293,585,476,679
OPM %,16%,22%,18%,20%,15%,29%,22%,7%,14%,12%,16%
Other Income,71,32,40,26,55,87,457,145,218,703,254
  └─ Exceptional items,38,9,6,-28,-1,-1,383,33,61,502,0
  └─ Other income normal,33,23,35,54,55,88,74,112,156,202,254
Interest,45,15,10,12,11,7,14,27,36,30,21
Depreciation,51,55,61,70,74,78,83,89,116,107,107
Profit before tax,383,525,454,548,418,992,1383,321,651,1043,805
Tax %,33%,32%,33%,33%,20%,26%,24%,22%,27%,23%,26%
Net Profit,258,355,306,367,333,738,1051,251,474,800,599
  └─ Exceptional items AT,26,6,4,-19,-0,-0,294,24,45,385,0
  └─ Profit excl Excep,232,349,303,386,333,738,757,226,429,415,599
  └─ Profit for PE,232,349,303,386,333,738,757,226,429,415,599
  └─ Profit for EPS,258,355,306,367,333,738,1051,251,474,800,599
  └─ Profit Growth %,,50%,-13%,27%,-14%,122%,3%,-70%,89%,-3%,44%
EPS in Rs,4.15,5.72,4.94,5.92,5.36,11.89,16.94,4.04,7.63,12.89,9.65
Dividend Payout %,48%,40%,41%,34%,37%,34%,24%,37%,33%,28%,28%
