Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,1972,1506,1220,1702,2389,3077,2912,2785,4644,6125,6414,6351,5786
  └─ Sales Growth %,27.64%,-23.64%,-18.96%,39.49%,40.39%,28.80%,-5.37%,-4.36%,66.72%,31.91%,4.71%,-0.98%,
Expenses,1946,1537,1379,1815,2482,3054,2876,2689,4435,5795,5485,5484,5265
  └─ Material Cost %,76%,80%,87%,83%,80%,78%,77%,74%,72%,70%,65%,64%,
    └─ Raw material cost,1494,1191,1070,1497,1883,2361,2268,2103,3340,4350,4183,4134,
    └─ Change in inventory,7,17,-8,-87,24,38,-28,-33,-16,-50,-39,-68,
  └─ Manufacturing Cost %,15%,15%,16%,14%,17%,16%,16%,15%,13%,13%,16%,17%,
  └─ Employee Cost %,3%,4%,4%,3%,3%,3%,3%,3%,2%,2%,2%,3%,
  └─ Other Cost %,4%,4%,5%,6%,4%,3%,3%,4%,9%,9%,2%,3%,
Operating Profit,26,-31,-159,-113,-93,24,36,96,209,330,929,867,522
OPM %,1%,-2%,-13%,-7%,-4%,1%,1%,3%,4%,5%,14%,14%,9%
Other Income,23,32,16,21,-22,36,49,10,29,-38,193,68,66
  └─ Exceptional items,-0,-3,0,-0,-40,-4,-6,-1,-1,-74,-22,0,
  └─ Other income normal,23,35,16,21,18,40,55,11,30,35,215,68,
Interest,345,384,425,46,34,112,103,88,99,89,73,63,64
Depreciation,143,134,122,118,107,102,97,94,91,98,86,94,111
Profit before tax,-440,-518,-690,-256,-257,-154,-114,-76,48,105,963,778,412
Tax %,-24%,-22%,0%,0%,0%,0%,0%,0%,0%,45%,9%,28%,
Net Profit,-333,-406,-690,-256,-257,-154,-114,-76,48,58,880,558,293
  └─ Exceptional items AT,-0,-3,0,-0,-40,-4,-6,-1,-1,-74,-20,0,
  └─ Profit excl Excep,-333,-403,-690,-256,-216,-150,-108,-75,49,131,899,558,
  └─ Profit for PE,-333,-403,-690,-256,-216,-150,-108,-75,49,131,899,558,
  └─ Profit for EPS,-333,-406,-690,-256,-257,-154,-114,-76,48,58,880,558,
  └─ Profit Growth %,-49%,-21%,-71%,63%,15%,31%,28%,31%,165%,170%,585%,-38%,
EPS in Rs,-9.90,-11.01,-17.74,-5.93,-5.33,-3.19,-2.07,-1.37,0.87,0.79,10.75,6.12,3.21
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
