Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,9835,10162,13631,18178,28324,31540
  └─ Sales Growth %,,3.32%,34.14%,33.36%,55.82%,11.35%
Interest,5213,4889,6601,9568,15030,15985
Expenses,2826,2908,3018,3951,8032,8458
  └─ Manufacturing Cost %,0.11%,0.52%,0.50%,0.55%,0.53%,0.00%
  └─ Employee Cost %,7.11%,8.80%,9.49%,10.18%,9.93%,8.97%
  └─ Other Cost %,21.51%,19.30%,12.14%,11.01%,17.90%,17.85%
Financing Profit,1797,2364,4013,4659,5263,7096
Financing Margin %,18%,23%,29%,26%,19%,22%
Other Income,152,260,150,21,46,4
  └─ Exceptional items,-0.46,10.14,-3.21,16.31,8.52,-44.04
  └─ Other income normal,152.76,249.39,153.01,4.46,37.50,47.59
Depreciation,334,276,226,288,390,538
Profit before tax,1615,2348,3937,4392,4919,6562
Tax %,23%,23%,25%,24%,26%,25%
Net Profit,1245,1801,2946,3327,3655,4891
  └─ Minority share,-119,-153,83,-177,10,-45
  └─ Exceptional items AT,-0,7,-2,12,6,-33
  └─ Profit excl Excep,1245,1794,2948,3315,3649,4924
  └─ Profit for PE,1126,1642,3032,3139,3658,4879
  └─ Profit for EPS,1126,1648,3029,3150,3665,4846
  └─ Profit Growth %,,46%,85%,4%,17%,33%
EPS in Rs,3.20,4.69,8.51,8.41,9.64,11.42
Dividend Payout %,0%,3%,2%,2%,4%,5%
