Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,8118,8788,5249,8136,12418,6441,7351,8177
  └─ Sales Growth %,,8.26%,-40.27%,55.01%,52.62%,-48.13%,14.13%,11.23%
Expenses,7525,7528,4666,6998,10860,6033,6653,7520
  └─ Material Cost %,48.35%,48.07%,48.83%,45.72%,44.71%,48.03%,43.22%,42.40%
    └─ Raw material cost,4153,4586,1948,4661,6793,2986,3279,3789
    └─ Change in inventory,-228,-362,615,-940,-1241,107,-102,-322
  └─ Manufacturing Cost %,4.52%,4.72%,5.69%,4.98%,5.07%,7.69%,9.41%,0.00%
  └─ Employee Cost %,11.25%,12.16%,16.50%,14.25%,12.60%,15.63%,15.55%,15.54%
  └─ Other Cost %,28.57%,20.72%,17.88%,21.06%,25.08%,22.31%,22.32%,34.02%
Operating Profit,593,1259,583,1138,1557,408,699,657
OPM %,7%,14%,11%,14%,13%,6%,10%,8%
Other Income,63,63,73,103,123,319,525,270
  └─ Exceptional items,1,2,3,35,43,237,431,-40
  └─ Other income normal,63,60,70,68,80,82,95,310
Interest,225,469,530,389,536,588,608,516
Depreciation,282,885,963,997,1227,1017,1166,1339
Profit before tax,149,-33,-838,-145,-82,-877,-550,-928
Tax %,-115%,402%,-12%,-18%,-28%,-16%,-17%,-11%
Net Profit,321,-165,-736,-118,-59,-736,-456,-830
  └─ Minority share,0,2,63,10,23,108,80,54
  └─ Exceptional items AT,1,2,3,35,43,66,262,-38
  └─ Profit excl Excep,320,-167,-739,-153,-102,-802,-718,-792
  └─ Profit for PE,320,-165,-675,-141,-62,-684,-592,-740
  └─ Profit for EPS,321,-163,-673,-109,-36,-628,-376,-776
  └─ Profit Growth %,,-152%,-309%,79%,56%,-1004%,13%,-25%
EPS in Rs,3.72,-1.89,-7.93,-1.16,-0.38,-6.19,-3.08,-6.36
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%
