Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,755,716,603,691,741,882,841,998
  └─ Sales Growth %,,-5.18%,-15.78%,14.55%,7.26%,18.96%,-4.64%,18.68%
Expenses,578,568,518,567,623,792,760,882
  └─ Manufacturing Cost %,62%,62%,62%,59%,57%,56%,56%,0%
  └─ Employee Cost %,9%,10%,13%,12%,17%,20%,23%,23%
  └─ Other Cost %,5%,7%,11%,11%,10%,13%,12%,65%
Operating Profit,177,148,85,124,118,89,80,116
OPM %,23%,21%,14%,18%,16%,10%,10%,12%
Other Income,33,38,49,79,42,68,68,68
  └─ Exceptional items,-0,-0,5,44,0,0,3,-5
  └─ Other income normal,33,38,44,35,42,68,65,73
Interest,2,2,1,0,1,2,2,7
Depreciation,28,27,17,17,18,27,28,47
Profit before tax,180,157,116,186,140,128,118,130
Tax %,32%,23%,20%,22%,24%,24%,22%,23%
Net Profit,124,121,92,144,107,97,92,101
  └─ Minority share,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,-0,-0,4,31,0,0,2,-3
  └─ Profit excl Excep,124,121,89,112,107,97,90,104
  └─ Profit for PE,124,121,89,112,107,97,90,104
  └─ Profit for EPS,124,121,92,144,107,97,92,101
  └─ Profit Growth %,,-2%,-27%,27%,-5%,-9%,-7%,15%
EPS in Rs,30.90,30.31,22.99,35.75,26.47,24.05,22.80,24.77
Dividend Payout %,0%,0%,0%,126%,38%,42%,44%,40%
