Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1292,4219,4644,3614,2201,3056,4069,4259,4620,5266
  └─ Sales Growth %,,226.49%,10.07%,-22.19%,-39.09%,38.84%,33.16%,4.66%,8.47%,13.99%
Expenses,1218,3977,4350,3351,2205,2864,3630,3734,4004,4562
  └─ Material Cost %,53.85%,46.91%,49.28%,55.13%,58.47%,55.95%,50.78%,47.83%,46.53%,45.62%
    └─ Raw material cost,943,1575,2745,2077,795,1764,2206,2074,2320,2712
    └─ Change in inventory,-248,404,-456,-85,492,-54,-140,-37,-171,-310
  └─ Manufacturing Cost %,18.22%,16.16%,9.86%,11.35%,12.23%,11.74%,10.58%,10.82%,11.41%,0.00%
  └─ Employee Cost %,8.63%,8.70%,8.78%,8.67%,10.41%,7.75%,6.01%,6.13%,5.84%,6.11%
  └─ Other Cost %,13.59%,22.51%,25.75%,17.57%,19.07%,18.28%,21.82%,22.90%,22.89%,34.89%
Operating Profit,74,242,294,263,-4,192,440,525,616,705
OPM %,6%,6%,6%,7%,-0%,6%,11%,12%,13%,13%
Other Income,2,5,4,-41,-20,-67,26,56,33,16
  └─ Exceptional items,-0.30,-7.62,-0.43,-46.17,-122.26,-128.65,-24.65,22.00,-1.12,-24.53
  └─ Other income normal,2.36,12.45,4.06,5.38,102.69,61.83,50.33,33.74,34.34,40.79
Interest,34,96,131,278,228,135,135,156,170,170
Depreciation,43,139,153,421,303,233,203,230,256,290
Profit before tax,-1,12,13,-477,-554,-242,127,194,224,261
Tax %,-1310%,-12%,-67%,-16%,8%,-2%,32%,29%,85%,30%
Net Profit,15,13,21,-399,-596,-237,87,137,33,184
  └─ Minority share,0,2,-5,-2,16,-31,-50,-56,-69,-61
  └─ Exceptional items AT,-0,9,0,-7,-18,4,-2,-6,0,-18
  └─ Profit excl Excep,15,4,21,-392,-578,-241,89,143,33,201
  └─ Profit for PE,15,5,16,-394,-562,-271,37,84,-36,134
  └─ Profit for EPS,15,14,17,-401,-580,-267,37,81,-36,123
  └─ Profit Growth %,,-66%,219%,-2503%,-43%,52%,114%,125%,-142%,477%
EPS in Rs,,,1.48,-35.31,-51.08,-20.19,2.76,6.06,-2.67,9.17
Dividend Payout %,0%,0%,0%,0%,0%,0%,36%,21%,-60%,17%
