Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2018,Mar 2019,TTM
Sales,6.29,25.85,35.89,11.06,25.50,33.57,25.69,16.36
  └─ Sales Growth %,,310.97%,38.84%,-69.18%,130.56%,,-23.47%,
Expenses,6.21,22.74,35.37,10.28,25.14,33.10,25.21,15.96
  └─ Material Cost %,0%,0%,0%,0%,0%,98%,98%,
    └─ Raw material cost,0.00,0.00,0.00,0.00,0.00,32.96,25.11,
  └─ Manufacturing Cost %,95%,81%,93%,88%,97%,0%,0%,
  └─ Employee Cost %,1%,3%,2%,2%,1%,0%,0%,
  └─ Other Cost %,3%,4%,3%,3%,1%,0%,0%,
Operating Profit,0.08,3.11,0.52,0.78,0.36,0.47,0.48,0.40
OPM %,1.27%,12.03%,1.45%,7.05%,1.41%,1.40%,1.87%,2.44%
Other Income,0.03,0.07,0.00,0.00,-13.45,0.00,0.00,0.00
  └─ Exceptional items,0.00,0.00,0.00,0.00,-13.45,0.00,0.00,
  └─ Other income normal,0.03,0.07,0.00,0.00,0.00,0.00,0.00,
Interest,0.00,0.02,0.02,0.01,0.16,0.27,0.38,0.39
Depreciation,0.02,0.19,0.31,0.66,0.14,0.19,0.12,0.12
Profit before tax,0.09,2.97,0.19,0.11,-13.39,0.01,-0.02,-0.11
Tax %,33.33%,35.35%,42.11%,-9.09%,0.22%,100.00%,100.00%,
Net Profit,0.06,1.93,0.11,0.13,-13.42,0.01,-0.04,-0.13
  └─ Exceptional items AT,0,0,0,0,-13,0,0,
  └─ Profit excl Excep,0,2,0,0,-0,0,-0,
  └─ Profit for PE,0,2,0,0,-0,0,-0,
  └─ Profit for EPS,0,2,0,0,-13,0,-0,
  └─ Profit Growth %,,3117%,-94%,18%,-123%,,-500%,
EPS in Rs,,0.07,0.00,0.00,-0.49,0.00,-0.00,0.00
Dividend Payout %,0.00%,27.46%,0.00%,0.00%,0.00%,0.00%,0.00%,
