Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.11,14.92,13.15,2.36,4.54,6.11,5.74
  └─ Sales Growth %,,1244.14%,-11.86%,,92.37%,34.58%,
Expenses,1.18,14.56,9.30,2.09,2.77,3.28,4.26
  └─ Material Cost %,85.59%,-73.32%,6.16%,0.00%,0.00%,0.00%,
    └─ Change in inventory,0.95,-10.94,0.81,0.00,0.00,0.00,
  └─ Manufacturing Cost %,1.80%,168.77%,12.09%,38.14%,34.80%,27.66%,
  └─ Employee Cost %,9.91%,1.34%,15.74%,28.39%,14.10%,11.46%,
  └─ Other Cost %,9.01%,0.80%,36.73%,22.03%,12.11%,14.57%,
Operating Profit,-0.07,0.36,3.85,0.27,1.77,2.83,1.48
OPM %,-6.31%,2.41%,29.28%,11.44%,38.99%,46.32%,25.78%
Other Income,0.09,0.14,0.06,0.01,0.69,0.19,0.15
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.05,
  └─ Other income normal,0.09,0.14,0.06,0.01,0.69,0.14,
Interest,0.00,0.00,1.06,0.00,0.01,0.01,0.00
Depreciation,0.01,0.10,0.94,3.25,2.77,3.03,3.29
Profit before tax,0.01,0.40,1.91,-2.97,-0.32,-0.02,-1.66
Tax %,0.00%,30.00%,30.37%,26.94%,-212.50%,2350.00%,
Net Profit,0.01,0.29,1.32,-3.77,0.36,-0.49,-2.11
  └─ Minority share,0,0,-1,0,0,0,
  └─ Exceptional items AT,0,0,0,0,0,-0,
  └─ Profit excl Excep,0,0,1,-4,0,-0,
  └─ Profit for PE,0,0,0,-4,0,-0,
  └─ Profit for EPS,0,0,0,-4,0,-0,
  └─ Profit Growth %,,2800%,-3%,,110%,-119%,
EPS in Rs,0.01,0.17,0.16,-2.22,0.21,-0.29,-0.94
Dividend Payout %,56.70%,0.00%,0.00%,0.00%,0.00%,0.00%,
