Metric,Sep 2006,Dec 200715m,Mar 200915m,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Dec 2007,Mar 2009
Sales,4.30,0.02,0.00,0.00,0.00,0.00,0.00,,
  └─ Sales Growth %,,,,,,,,-99.53%,-100.00%
Expenses,5.06,19.18,1.10,0.21,0.16,0.12,0.24,,
  └─ Material Cost %,32.56%,,,,,,,0.00%,
    └─ Raw material cost,1.40,,,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Manufacturing Cost %,30.70%,,,,,,,1700.00%,
  └─ Employee Cost %,14.19%,,,,,,,300.00%,
  └─ Other Cost %,40.23%,,,,,,,93900.00%,
Operating Profit,-0.76,-19.16,-1.10,-0.21,-0.16,-0.12,-0.24,,
OPM %,-17.67%,-95800.00%,,,,,,,
Other Income,-15.03,27.01,1.64,0.27,0.37,1.20,3.41,,
  └─ Exceptional items,-15.22,,,-0.02,0.00,0.74,3.15,8.36,0.55
  └─ Other income normal,0.19,,,0.29,0.37,0.46,0.26,18.65,1.09
Interest,0.35,1.30,0.01,0.02,0.00,0.02,0.04,,
Depreciation,0.59,0.55,0.02,0.00,0.00,0.00,0.00,,
Profit before tax,-16.73,6.00,0.51,0.04,0.21,1.06,3.13,,
Tax %,1.55%,0.00%,9.80%,0.00%,0.00%,15.09%,0.64%,,
Net Profit,-16.99,6.00,0.46,0.04,0.21,0.90,3.12,,
  └─ Exceptional items AT,-15,,,-0,0,1,3,8,0
  └─ Profit excl Excep,-2,,,0,0,0,-0,-2,-0
  └─ Profit for PE,-2,,,0,0,0,-0,-2,-0
  └─ Profit for EPS,-17,,,0,0,1,3,6,0
  └─ Profit Growth %,,,,225%,320%,29%,-104%,-18%,98%
EPS in Rs,-11.86,4.19,0.32,0.03,0.15,0.63,2.18,,
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
