Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,7444,8579,9484,9674,10110,11286,13552,14691,13980,14804
  └─ Sales Growth %,,15.25%,10.55%,2.00%,4.51%,11.63%,20.08%,8.40%,-4.84%,5.89%
Expenses,5550,6543,7542,7591,7340,8860,11224,12052,11573,11721
  └─ Material Cost %,16.94%,17.80%,18.82%,18.05%,15.26%,13.04%,14.62%,18.40%,16.65%,15.79%
    └─ Raw material cost,1173,1509,1932,1721,1483,1537,1958,2687,2347,2324
    └─ Change in inventory,88,18,-147,25,60,-65,23,16,-19,14
  └─ Manufacturing Cost %,21.02%,23.06%,44.68%,44.41%,43.28%,50.83%,54.71%,49.66%,51.48%,49.13%
  └─ Employee Cost %,7.94%,7.20%,6.84%,6.99%,6.53%,6.60%,5.69%,5.93%,6.33%,6.04%
  └─ Other Cost %,28.65%,28.21%,9.18%,9.02%,7.53%,8.03%,7.81%,8.05%,8.32%,8.21%
Operating Profit,1894,2036,1942,2083,2770,2426,2328,2639,2407,3083
OPM %,25%,24%,20%,22%,27%,22%,17%,18%,17%,21%
Other Income,296,274,235,217,145,171,532,314,140,195
  └─ Exceptional items,110,110,185,58,-6,106,-94,82,-25,79
  └─ Other income normal,186,164,50,159,151,65,626,232,165,116
Interest,856,708,542,415,303,202,234,386,399,480
Depreciation,1226,1213,1296,1528,1250,1235,1305,1498,1331,1349
Profit before tax,108,389,339,357,1362,1160,1321,1069,817,1449
Tax %,69%,25%,-3%,33%,13%,27%,18%,20%,14%,20%
Net Profit,44,291,349,238,1183,845,1079,853,699,1157
  └─ Profit from Associates,10,0,0,0,-1,0,0,0,0,0
  └─ Minority share,0,1,-41,-14,-12,-29,-44,-27,-16,-18
  └─ Exceptional items AT,21,75,124,39,-3,72,-72,62,-19,59
  └─ Profit excl Excep,23,216,225,199,1186,773,1151,791,718,1098
  └─ Profit for PE,23,217,199,187,1174,746,1104,766,701,1081
  └─ Profit for EPS,44,292,308,224,1171,816,1035,826,683,1139
  └─ Profit Growth %,,845%,-9%,-6%,528%,-36%,48%,-31%,-8%,54%
EPS in Rs,8800.00,58400.00,15.96,11.61,62.58,43.55,55.21,44.04,36.41,60.73
Dividend Payout %,0%,1937%,13%,17%,2%,20%,16%,21%,25%,15%
