Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,384,402,380,524,98,270,610,571,298
  └─ Profit from operations,587,642,699,574,427,424,425,585,486
  └─ Receivables,-34,-16,141,-58,0,-6,92,-172,-231
  └─ Inventory,79,-78,-293,-108,67,-197,261,-79,-183
  └─ Payables,4,87,0,284,-233,131,-173,340,154
  └─ Other WC items,-47,4,40,-43,-71,-13,70,34,186
  └─ Working capital changes,1,-3,-112,75,-237,-84,251,124,-74
  └─ Direct taxes,-204,-236,-206,-125,-92,-70,-65,-138,-114
Cash from Investing Activity,-415,-262,-72,338,-459,-101,62,61,-2032
  └─ Fixed assets purchased,-156,-187,-307,-101,-170,-181,-66,-120,-263
  └─ Fixed assets sold,0,1,2,2,2,1,0,1,3
  └─ Investments sold,0,0,138,357,0,0,0,0,0
  └─ Interest received,61,87,97,72,47,75,128,160,143
  └─ Acquisition of companies,0,0,0,0,-425,0,0,0,0
  └─ Other investing items,-321,-163,-2,7,86,3,-0,19,-1914
Cash from Financing Activity,-46,-62,-87,-75,-89,-101,-117,-307,-212
  └─ Interest paid fin,-1,-1,-3,-2,-6,-9,-12,-20,-24
  └─ Dividends paid,-38,-50,-63,-63,-63,-63,-63,-63,-63
  └─ Financial liabilities,0,0,-8,-10,-19,-28,-42,-57,-66
  └─ Other financing items,-8,-10,-13,0,0,0,0,-167,-59
Net Cash Flow,-77,79,221,786,-450,68,555,325,-1946
  └─ Free Cash Flow,229,216,75,425,-70,90,544,452,37
  └─ CFO/OP,105%,99%,87%,125%,46%,92%,168%,129%,86%
