Metric,Mar 2015,Mar 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-334,-1405,-4476,-2377,-2082,-1236,416,651,-121,-743
  └─ Profit from operations,-346,-1506,-4160,-2357,-1579,-1436,-57,774,-6,1167
  └─ Receivables,-46,-42,225,-74,-7,-319,-554,-506,-26,-176
  └─ Payables,0,0,284,-120,-3,148,109,-184,99,151
  └─ Loans Advances,0,0,-83,-53,0,0,0,0,-93,-298
  └─ Other WC items,65,244,-558,254,-680,519,1094,675,-113,-1554
  └─ Working capital changes,19,202,-132,7,-690,348,649,-15,-133,-1877
  └─ Interest paid,-4,-14,0,0,0,0,0,0,0,0
  └─ Direct taxes,1,39,-184,-26,0,0,0,0,0,-33
  └─ Advance tax,0,0,0,0,187,-148,-176,-108,18,0
  └─ Other operating items,-4,-126,0,0,0,0,0,0,0,0
Cash from Investing Activity,-20,-2229,1906,-1997,1934,-5484,2628,338,-2031,1719
  └─ Fixed assets purchased,-38,-110,-177,-191,-193,-507,-705,-822,-322,-479
  └─ Fixed assets sold,0,1,2,4,6,3,8,10,5,11
  └─ Investments purchased,0,0,-3296,-7960,-6747,-8446,-36290,-25319,-57265,-18704
  └─ Investments sold,0,0,5580,7336,10049,8571,35119,23442,58899,18412
  └─ Interest received,3,13,64,38,95,278,308,473,432,767
  └─ Dividends received,0,0,0,0,0,0,0,0,0,0
  └─ Investment in group cos,0,0,-59,-146,-9,0,0,0,0,0
  └─ Acquisition of companies,0,0,-1,0,0,0,0,0,0,0
  └─ Inter corporate deposits,0,0,0,252,0,91,48,1,0,0
  └─ Other investing items,14,-2133,-206,-1331,-1268,-5472,4138,2554,-3781,1712
Cash from Financing Activity,459,3938,2110,5160,-222,8054,-1112,-22,-53,-50
  └─ Proceeds from shares,465.12,3984.04,2189.30,5054.00,10.70,8306.70,7.60,29.60,1.60,2.00
  └─ Proceeds from borrowings,0.00,14.98,0.00,264.60,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Repayment of borrowings,-0.25,0.00,-3.10,-60.60,-158.20,-43.50,0.00,0.00,0.00,0.00
  └─ Interest paid fin,0.00,0.00,-31.40,-47.00,-33.90,-38.00,-19.90,-17.90,-14.60,-15.00
  └─ Financial liabilities,0.00,0.00,-5.00,-29.10,-34.60,-31.60,-44.00,-34.10,-31.80,-37.00
  └─ Share application money,0.00,0.00,0.00,0.00,0.20,0.00,0.10,0.30,0.00,0.00
  └─ Other financing items,-5.96,-61.05,-39.30,-22.00,-6.30,-140.10,-1056.10,0.00,-7.90,0.00
Net Cash Flow,104,304,-460,786,-371,1334,1931,967,-2205,926
  └─ Free Cash Flow,-372,-1515,-4651,-2563,-2270,-1741,-281,-161,-438,-1211
  └─ CFO/OP,93%,87%,98%,88%,123%,46%,-36%,-81%,9%,-142%
