Metric,Sep 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,1699,3043,1956,2413,1253,2271,4325,-578,2755,3303,1868,4590
  └─ Profit from operations,1959,4457,2662,2376,2473,2485,3019,2144,2447,4351,4171,5022
  └─ Receivables,-162,-129,-132,-178,-238,97,35,-188,-172,-409,-463,-343
  └─ Inventory,-9,-74,-525,228,-796,88,-34,-1191,-11,-328,-1156,208
  └─ Payables,216,-12,303,167,117,188,1608,-1250,380,216,174,380
  └─ Loans Advances,6,-0,0,0,0,0,0,0,0,0,0,0
  └─ Other WC items,102,-31,58,295,112,-145,212,120,439,195,-265,5
  └─ Working capital changes,152,-245,-296,512,-804,228,1822,-2509,636,-325,-1711,250
  └─ Direct taxes,-412,-1169,-411,-475,-416,-442,-517,-213,-328,-722,-592,-682
Cash from Investing Activity,-1791,-3408,-1393,-2014,-1386,-162,-5087,169,-1922,-2381,-2082,-3536
  └─ Fixed assets purchased,-1246,-2308,-1369,-1567,-1964,-2752,-853,-1707,-3291,-2164,-1308,-1434
  └─ Fixed assets sold,0,2,3,3,0,2,1,2,1,1,14,8
  └─ Investments purchased,-656,-2347,0,-3007,-2122,-2066,-6218,-650,-136,-446,-2888,-561
  └─ Investments sold,493,728,33,2477,2718,4651,1884,3033,787,316,1962,1934
  └─ Interest received,33,67,33,24,11,20,87,88,116,98,104,125
  └─ Dividends received,1,0,0,0,0,0,0,0,0,0,0,0
  └─ Other investing items,-415,450,-93,57,-30,-17,11,-598,601,-187,34,-3608
Cash from Financing Activity,67,212,-438,-453,42,-1032,-250,424,-840,-868,282,-1120
  └─ Proceeds from debentures,0,0,0,0,0,0,0,0,150,0,0,0
  └─ Redemption of debentures,-65,-135,0,0,0,-160,-160,-180,0,0,0,-150
  └─ Proceeds from borrowings,0,0,0,0,506,81,484,1086,8,0,920,0
  └─ Repayment of borrowings,0,0,0,0,-160,-556,-182,-87,-544,-353,-101,-200
  └─ Interest paid fin,-222,-321,-247,-254,-270,-281,-254,-236,-270,-290,-273,-290
  └─ Dividends paid,-15,-27,-51,-31,-31,-25,-42,-64,-64,-74,-85,-100
  └─ Financial liabilities,0,0,0,0,0,-86,-98,-97,-121,-152,-181,-196
  └─ Other financing items,369,695,-139,-168,-4,-5,2,1,1,2,2,-185
Net Cash Flow,-24,-152,125,-53,-91,1077,-1012,14,-6,55,68,-66
  └─ Free Cash Flow,454,737,590,849,-710,-479,3473,-2283,-535,1141,573,3164
  └─ CFO/OP,109%,95%,89%,126%,72%,114%,164%,-18%,128%,94%,60%,108%
