Metric,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,1047,1463,1708,2482,1575,1694,1691,1527,2823,3724,3980,4805
  └─ Profit from operations,1126,1719,2196,2851,2941,2236,1912,2172,3527,4404,4849,5885
  └─ Receivables,-50,-22,-17,-18,-18,-0,-73,-147,-59,-5,-176,190
  └─ Inventory,-119,-104,-28,-59,-239,61,-302,-258,-146,-131,-154,-404
  └─ Payables,321,241,110,407,62,-235,495,283,22,304,440,261
  └─ Loans Advances,-103,-12,6,-0,-1,1,0,0,0,0,0,0
  └─ Other WC items,152,160,92,109,-262,259,115,-10,249,220,101,231
  └─ Working capital changes,202,263,163,438,-457,86,235,-131,66,388,211,278
  └─ Direct taxes,-281,-519,-652,-807,-908,-628,-457,-514,-770,-1068,-1080,-1358
Cash from Investing Activity,-1214,-1001,-1744,-2145,-660,-1508,-1625,-983,-2397,-2834,-2461,-2964
  └─ Fixed assets purchased,-972,-510,-548,-748,-792,-546,-532,-641,-682,-819,-1039,-1275
  └─ Fixed assets sold,4,1,1,3,2,1,17,2,9,4,11,9
  └─ Investments purchased,-181,-662,-4247,-6464,-7929,-8746,-3983,-7134,-9103,-6106,-6939,-9631
  └─ Investments sold,0,158,3051,6124,9051,8176,5971,3500,5080,5968,6826,8312
  └─ Interest received,55,4,3,12,90,204,192,398,204,112,188,337
  └─ Dividends received,5,107,0,52,65,68,0,27,41,95,136,218
  └─ Investment in group cos,0,-109,-39,-16,-30,-1,0,0,0,0,0,0
  └─ Other investing items,-125,9,36,-1106,-1117,-665,-3290,2864,2055,-2089,-1643,-933
Cash from Financing Activity,-162,-466,25,-262,-292,-858,-15,-593,-417,-844,-1399,-1983
  └─ Proceeds from shares,8,5,6,19,36,29,38,6,11,47,97,12
  └─ Proceeds from borrowings,0,0,389,495,369,267,40,32,202,322,38,85
  └─ Repayment of borrowings,-26,0,-345,-456,-344,-298,-27,-137,-20,-127,-43,-71
  └─ Interest paid fin,-10,-2,-2,-3,-5,-8,-16,-19,-18,-35,-37,-50
  └─ Dividends paid,-115,-407,0,-272,-300,-682,0,-465,-574,-1013,-1397,-1920
  └─ Financial liabilities,0,0,0,0,0,-40,-39,-17,-19,-37,-56,-62
  └─ Other financing items,-20,-61,-23,-45,-48,-126,-11,5,0,0,0,22
Net Cash Flow,-329,-4,-10,75,623,-673,51,-50,8,45,121,-142
  └─ Free Cash Flow,79,954,1161,1736,786,1150,1176,888,2149,2909,2951,3538
  └─ CFO/OP,119%,117%,109%,117%,86%,106%,120%,94%,104%,111%,107%,107%
