Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,44,465,326,68,-134,447,191,339,471,704,184,500
  └─ Profit from operations,116,213,290,291,338,301,217,306,422,793,927,1098
  └─ Receivables,-47,-34,12,-33,-208,-179,46,-94,-478,-173,-292,-287
  └─ Inventory,-174,-44,35,-47,-89,-43,-48,-63,-177,-107,44,-107
  └─ Payables,183,478,-236,303,-57,103,92,210,397,330,410,153
  └─ Loans Advances,-41,-123,257,-450,0,0,0,0,0,0,0,0
  └─ Other WC items,0,0,0,0,-63,309,-94,38,408,-61,-798,-190
  └─ Working capital changes,-79,277,68,-227,-417,189,-4,91,150,-11,-635,-432
  └─ Direct taxes,6,-25,-33,4,-56,-43,-22,-59,-101,-77,-108,-166
Cash from Investing Activity,-38,-104,-20,-157,-133,-87,-51,-25,-438,-419,-233,-147
  └─ Fixed assets purchased,-49,-59,-96,-174,-139,-110,-145,-111,-418,-356,-228,-264
  └─ Fixed assets sold,3,13,1,4,14,16,34,16,16,21,56,38
  └─ Investments purchased,0,0,0,0,-247,0,0,0,0,0,0,0
  └─ Investments sold,0,0,0,0,249,30,111,0,0,0,0,0
  └─ Interest received,2,3,15,13,6,2,3,4,5,18,25,86
  └─ Redemp n Canc of Shares,0,0,0,0,0,0,0,114,49,0,0,0
  └─ Inter corporate deposits,0,0,60,0,0,0,0,0,0,0,0,0
  └─ Other investing items,6,-62,0,0,-17,-25,-54,-47,-90,-102,-86,-7
Cash from Financing Activity,-4,-302,-222,40,244,-212,-250,-56,28,-123,-218,-243
  └─ Proceeds from shares,140,0,0,0,331,0,0,0,0,0,0,0
  └─ Proceeds from borrowings,68,10,58,156,96,13,94,127,260,289,646,510
  └─ Repayment of borrowings,-73,-175,-190,-23,-52,-71,-177,-21,-50,-153,-574,-511
  └─ Interest paid fin,-139,-138,-90,-87,-123,-115,-128,-135,-157,-227,-247,-192
  └─ Dividends paid,-1,-0,0,-5,0,0,0,-2,-8,-13,-29,-34
  └─ Financial liabilities,0,0,0,0,0,-31,-33,-25,-18,-20,-13,-15
  └─ Other financing items,-0,0,0,-1,-8,-8,-5,0,0,0,0,0
Net Cash Flow,1,59,83,-49,-24,147,-110,258,61,162,-267,110
  └─ Free Cash Flow,-2,419,231,-103,-259,354,80,244,69,369,12,274
  └─ CFO/OP,41%,256%,170%,24%,-24%,145%,100%,136%,143%,105%,34%,66%
