Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-497,-1281,111,-1438,-108,3294,2108,3049,3575,2451,2132,2817
  └─ Profit from operations,1050,1561,1773,1767,2010,2036,1938,1775,1432,1191,1167,756
  └─ Receivables,-432,-907,400,-68,-1573,-2111,810,-1004,1498,-368,971,363
  └─ Payables,0,0,0,0,0,0,0,0,0,0,0,603
  └─ Loans Advances,-1009,-2206,-2097,-2298,-968,2041,127,1680,1125,1926,600,1335
  └─ Operating investments,0,0,-21,0,0,0,0,0,0,0,0,0
  └─ Other WC items,104,572,335,-548,707,1569,-659,598,-328,-465,-550,6
  └─ Working capital changes,-1337,-2541,-1384,-2915,-1834,1499,279,1274,2295,1093,1021,2306
  └─ Direct taxes,-210,-301,-278,-290,-284,-241,-109,1,-152,-189,-267,-245
  └─ Exceptional CF items,0,0,0,0,0,0,0,0,0,355,211,0
Cash from Investing Activity,-160,87,-1374,249,244,-414,-505,46,168,-519,869,-824
  └─ Fixed assets purchased,-3,-313,-1477,-316,-3,-2,-4,-10,-2,-3,-5,-4
  └─ Fixed assets sold,0,0,0,0,0,0,0,0,0,0,1,0
  └─ Investments purchased,-527,157,-87,0,0,-181,-551,0,0,-20,-83,-528
  └─ Investments sold,0,0,0,446,130,0,0,232,468,0,1176,0
  └─ Interest received,32,108,136,120,124,8,14,19,13,24,15,297
  └─ Dividends received,10,28,24,19,1,0,0,0,0,0,0,0
  └─ Investment in group cos,0,0,0,0,0,-12,0,0,0,0,0,0
  └─ Other investing items,328,107,29,-20,-9,-226,36,-195,-312,-520,-234,-589
Cash from Financing Activity,709,1124,1353,1278,-408,-2570,-1085,-2788,-4019,-2042,-2165,-3428
  └─ Proceeds from borrowings,1580,2047,2858,2938,1442,0,223,0,0,0,0,0
  └─ Repayment of borrowings,-379,-186,-589,-112,-455,-1236,-141,-1726,-3248,-990,-1356,-1186
  └─ Interest paid fin,-396,-575,-780,-935,-1218,-1166,-930,-834,-594,-422,-349,-310
  └─ Dividends paid,-96,-105,-122,-147,-148,-164,-232,-222,-172,-253,-231,-435
  └─ Financial liabilities,0,-57,-14,-31,-29,-5,-4,-5,-6,-5,-5,-5
  └─ Other financing items,0,0,0,-435,0,0,0,0,0,-371,-225,-1491
Net Cash Flow,52,-70,91,89,-272,309,518,308,-276,-110,835,-1434
  └─ Free Cash Flow,-500,-1594,-1366,-1754,-111,3292,2105,3040,3574,2448,2127,2813
  └─ CFO/OP,-29%,-88%,28%,-99%,9%,194%,130%,193%,275%,247%,211%,347%
