symbol,company_name,upcoming_result_date,purpose,details,source,is_universe
CINEVISTA,Cinevista Limited,22-Sep-2026,Other business matters,To consider other business matters,NSE Official Event Calendar,NO
MANBA,Manba Finance Limited,22-Sep-2026,Fund Raising/Other business matters,To consider Fund Raising and other business matters,NSE Official Event Calendar,NO
RAMASTEEL,Rama Steel Tubes Limited,22-Sep-2026,Fund Raising,Board Meeting Intimation for Raising Of Funds By Way Of Issue Of Equity Shares And/Or Other Securities Along With Any Other Business.,NSE Official Event Calendar,NO
AERONEU,Aeroflex Neu Limited,23-Sep-2026,Other business matters,"Aeroflex Neu Ltd has informed NSE that the meeting of the Board of Directors of the Company is scheduled on 23/09/2026 ,inter alia, to consider and approve: 1. Exploring new business avenues and expansion/diversification of existing activities; and 2. Any other business with the permission of the Chair.",NSE Official Event Calendar,NO
ANNU,Annu Projects Limited,23-Sep-2026,Financial Results,"To consider and approve the financial results for the period ended Jun 30, 2026",NSE Official Event Calendar,NO
BCPL,BCPL Railway Infrastructure Limited,23-Sep-2026,Other business matters,To consider other business matters,NSE Official Event Calendar,NO
CONCORDBIO,Concord Biotech Limited,23-Sep-2026,Bonus,To consider bonus,NSE Official Event Calendar,NO
CONSOFINVT,Consolidated Finvest & Holdings Limited,23-Sep-2026,Voluntary Delisting,To consider voluntary delisting,NSE Official Event Calendar,NO
ESAFSFB,ESAF Small Finance Bank Limited,23-Sep-2026,Fund Raising,Intimation of Board meeting to consider and approve the  proposal to raise funds by way of issuance of Non-Convertible Debentures (Tier II Bonds) on Preferential basis through Private Placement,NSE Official Event Calendar,NO
KELLTONTEC,Kellton Tech Solutions Limited,23-Sep-2026,Fund Raising,To consider and approve the Proposal for raising of fund by way of issuance of equity shares and/or other eligible securities,NSE Official Event Calendar,NO
NEUEON,Neueon Corporation Limited,23-Sep-2026,Fund Raising/Other business matters,"1. To consider and recommend the raising of funds by way of issuance of equity shares or any other eligible securities through permissible modes, including but not limited to a private placement, a qualified institutions placement, preferential issue, or any other method or combination of methods as may be permitted under applicable laws, subject to such regulatory/statutory approvals as may be required and the approval of shareholders of the Company through postal ballot. 2. To consider and recommend the amendments in Article of Associations.  3. To conduct Postal Ballot by way of remote e-voting facility only, to obtain approval of the shareholder of the Company.4. To consider the appointment of the scrutinizer for the postal ballot remote e-voting.",NSE Official Event Calendar,NO
NOIDATOLL,Noida Toll Bridge Company Limited,23-Sep-2026,Other business matters,To consider other business matters,NSE Official Event Calendar,NO
QPOWER,Quality Power Electrical Equipments Limited,23-Sep-2026,Fund Raising/Other business matters,"To consider the issue of Shares through Preferential Issue/Allotment, for cash and/or for consideration other than cash; and/or Qualified Institutional Placement (QIP)",NSE Official Event Calendar,NO
WINSOME,Winsome Yarns Limited,23-Sep-2026,Financial Results/Other business matters,"To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters",NSE Official Event Calendar,NO
GLOBAL,Global Education Limited,24-Sep-2026,Buyback/Other business matters,To consider buyback for equity shares and other business matters,NSE Official Event Calendar,NO
HCLTECH,HCL Technologies Limited,12-Oct-2026,Financial Results/Dividend,"To consider and approve the financial results for the period ended September 30, 2026 and dividend",NSE Official Event Calendar,YES ✅
STCINDIA,The State Trading Corporation of India Limited,13-Oct-2026,Financial Results/Other business matters,"To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters",NSE Official Event Calendar,NO
AXISBANK,Axis Bank Limited,17-Oct-2026,Financial Results,"To consider and approve the financial results for the period ended September 30, 2026",NSE Official Event Calendar,YES ✅
INDIACEM,The India Cements Limited,17-Oct-2026,Financial Results,"To consider and approve the financial results for the period ended September 30, 2026",NSE Official Event Calendar,NO
ULTRACEMCO,UltraTech Cement Limited,19-Oct-2026,Financial Results,"To consider and approve the financial results for the period ended September 30, 2026",NSE Official Event Calendar,YES ✅
COFORGE,Coforge Limited,23-Oct-2026,Financial Results,"To consider and approve the financial results for the period ended September 30, 2026",NSE Official Event Calendar,YES ✅
INFY,Infosys Limited,23-Oct-2026,Financial Results/Dividend,"To consider and approve the financial results for the period ended September 30, 2026 and dividend",NSE Official Event Calendar,YES ✅
SHREECEM,SHREE CEMENT LIMITED,23-Oct-2026,Financial Results,"To consider and approve the financial results for the period ended September 30, 2026",NSE Official Event Calendar,YES ✅
ABB,ABB India Limited,13-Nov-2026,Financial Results,"To consider and approve the financial results for the period ended September 30, 2026",NSE Official Event Calendar,YES ✅
SPECTRUM,Spectrum Electrical Industries Limited,20-Sep-2026 18:05:22,Outcome of Board Meeting,"Spectrum Electrical Industries Limited has informed the Exchange regarding Outcome of Board Meeting held on September 20, 2026.",NSE Corporate Announcements Feed,NO
