symbol,company,upcoming_board_meeting_date,purpose,details,is_in_211_universe
COMSYN,Commercial Syn Bags Limited,17-Sep-2026,Other business matters,To consider the conversion of Warrants into the Equity Shares of the Company and other business matters,NO
CUBEXTUB,Cubex Tubings Limited,17-Sep-2026,Fund Raising/Other business matters,To consider Fund Raising and other business matters,NO
DBSTOCKBRO,DB (International) Stock Brokers Limited,17-Sep-2026,Other business matters,"To Consider and approve the proposal received from management to transfer major client business of company including those of trading, Depository Participant, Mutual Fund and Other financial products to a suitable buyer and authorize board of directors to discuss the terms with the prospective buyers.",NO
EMAMILTD,Emami Limited,17-Sep-2026,Buyback/Other business matters,To consider buyback for equity shares and other business matters,NO
FEDERALBNK,The Federal Bank  Limited,17-Sep-2026,Fund Raising,To consider Fund Raising,YES ✅
GFSTEELS,Grand Foundry Limited,17-Sep-2026,Fund Raising,To consider Fund Raising,NO
HGM,HandsOn Global Management (HGM) Limited,17-Sep-2026,Other business matters,"To consider inter alia, matter of strategic investments opportunities.",NO
KISSHT,OnEMI Technology Solutions Limited,17-Sep-2026,Fund Raising,Board Meeting Intimation for Raising Of Funds By Way Of Issuance Of Equity Shares/Warrants/Convertible Instruments/Other Eligible Securities Of The Company By Way Of A Preferential Issue On A Private Placement Basis Or Any Other Permissible Mode Or Combination Thereof.,NO
MOTISONS,Motisons Jewellers Limited,17-Sep-2026,Other business matters,To consider other business matters,NO
ORISSAMINE,The Orissa Minerals Development Company Limited,17-Sep-2026,Financial Results,"To consider and approve the financial results for the period ended Jun 30, 2026",NO
RESPONIND,Responsive Industries Limited,17-Sep-2026,Buyback,To consider buyback for equity shares,NO
SAHLIBHFI,Shalibhadra Finance Limited,17-Sep-2026,Fund Raising,to consider and approve the issuance of the non-convertible debentures by the Company on a private placement basis,NO
SKYWAYS,Skyways Air Services Limited,17-Sep-2026,Financial Results/Dividend/Other business matters,"To consider and approve the financial results for the period ended Jun 30, 2026, dividend and other business matters",NO
SKYWAYS,Skyways Air Services Limited,17-Sep-2026,Financial Results/Dividend/Other business matters,"The Company has informed the Exchange that a Board meeting to be held on September 17, 2026 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on September 17, 2026, To consider and approve the financial results for the period ended Jun 30, 2026, dividend and other business matters",NO
YATHARTH,Yatharth Hospital & Trauma Care Services Limited,17-Sep-2026,Fund Raising,To consider Fund raising by way of Issuance of equity shares or other securities.,NO
ARFIN,Arfin India Limited,18-Sep-2026,Dividend,"To consider, approve the declaration of Interim dividend for the current financial year ending on march 31, 2027",NO
AVANTEL,Avantel Limited,18-Sep-2026,Other business matters,"Notice of Board Meeting under Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",NO
BTML,Bodhi Tree Multimedia Limited,18-Sep-2026,Fund Raising/Other business matters,To consider Fund Raising and other business matters,NO
HTEL,Hy-Tech Engineers Limited,18-Sep-2026,Financial Results,"To consider and approve the financial results for the period ended Jun 30, 2026",NO
POWERGRID,Power Grid Corporation of India Limited,18-Sep-2026,Fund Raising,"to consider issue of Unsecured, Non-Convertible, Non-Cumulative, Redeemable, Taxable Bonds as  POWERGRID Bond - LXXXIV (84th) Issue  under private placement.",YES ✅
ROSSTECH,Rossell Techsys Limited,18-Sep-2026,Fund Raising,To consider and approve the proposal for issuance of equity shares by way of preferential allotment to certain investors,NO
SABEVENTS,Sab Events & Governance Now Media Limited,18-Sep-2026,Fund Raising/Other business matters,To consider Fund Raising and other business matters,NO
SHAREINDIA,Share India Securities Limited,18-Sep-2026,Fund Raising,"Share India Securities Limited has informed the Exchange that the meeting of the Board of Directors of the Company is scheduled to be held on September 18, 2026, inter alia, to consider and approve the proposal for raising funds through issue of such securities as maybe considered by the Board.",NO
SHREMINVIT,Shrem Invit,18-Sep-2026,Fund Raising,"Intimation of the meeting of the Board of Directors of Shrem Infra Investment Manager Private Limited (acting in its capacity as Investment Manager to Shrem InvIT) is scheduled to be held on Friday, September 18, 2026 to consider and approve, raising of funds through issuance of Non- convertible debentures (NCD s) and other matters.",NO
VEDL,Vedanta Limited,18-Sep-2026,Fund Raising,"Intimation of Meeting of Committee of Directors proposed to be held on Friday, September 18, 2026 to consider the proposal for issuance of Non-Convertible Debentures",YES ✅
VIPIND,VIP Industries Limited,18-Sep-2026,Fund Raising,To consider and evaluate the proposal for raising funds,NO
PNGJL,P N Gadgil Jewellers Limited,19-Sep-2026,Other business matters,To consider and approve the Employee Stock Option Plan,NO
AUGMONT,Augmont Enterprises Limited,21-Sep-2026,Financial Results,"To consider and approve the Un-Audited Financial Results (Standalone And Consolidated) For The Quarter Ended 30Th June 2026, As Per Regulation 33(3)(J) Of The SEBI LODR.",NO
RELIABLE,Reliable Data Services Limited,21-Sep-2026,Fund Raising/Other business matters,To consider Fund Raising and other business matters,NO
RELIABLE,Reliable Data Services Limited,21-Sep-2026,Fund Raising/Other business matters,To consider Fund Raising and other business matters,NO
SYMBIOTEC,Symbiotec Pharmalab Limited,21-Sep-2026,Financial Results,"To consider and approve the financial results for the period ended Jun 30, 2026",NO
MANBA,Manba Finance Limited,22-Sep-2026,Fund Raising/Other business matters,To consider Fund Raising and other business matters,NO
INDIACEM,The India Cements Limited,17-Oct-2026,Financial Results,"To consider and approve the financial results for the period ended September 30, 2026",NO
ULTRACEMCO,UltraTech Cement Limited,19-Oct-2026,Financial Results,"To consider and approve the financial results for the period ended September 30, 2026",YES ✅
COFORGE,Coforge Limited,23-Oct-2026,Financial Results,"To consider and approve the financial results for the period ended September 30, 2026",YES ✅
INFY,Infosys Limited,23-Oct-2026,Financial Results/Dividend,"To consider and approve the financial results for the period ended September 30, 2026 and dividend",YES ✅
ABB,ABB India Limited,13-Nov-2026,Financial Results,"To consider and approve the financial results for the period ended September 30, 2026",YES ✅
