symbol,announcement_date,purpose,details,attachment
ULTRACEMCO,31-Mar-2017 17:25:00,Trading Window,"UltraTech Cement Limited has informed the Exchange that In terms of the Company's Code of Conduct for Trading in Listed or Proposed to be Listed Securities, the trading window for dealing in the securities of the Company will be closed for all Connected/ Designated Persons from April 01, 2017 and the same will remain closed till 48 hours after the announcement of the audited financial results for the year ending March 31, 2017, to the public. Accordingly, all Directors / Connected Persons / Designated Persons of the Company have been informed not to trade in the securities of the Company during the aforesaid period of closure of Trading Window.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/ShutPeriodNSE_31032017172510_396.zip
ULTRACEMCO,21-Jan-2017 14:19:00,Outcome of Board Meeting,"UltraTech Cement Limited has informed the Exchange that the Board of Directors of the Company at its meeting held on January 21, 2017 has approved setting up of a 3.5 mtpa integrated cement plant at Dhar , Madhya Pradesh.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/ULTRACEMCO_21012017141941.zip
ULTRACEMCO,21-Jan-2017 13:53:16,Financial Result Updates,"UltraTech Cement Limited has submitted to the Exchange, the financial results for the period ended December 31, 2016.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/UTCLRESULTS311216_21012017135316.zip
ULTRACEMCO,30-Dec-2016 17:42:00,Trading Window,"UltraTech Cement Limited has informed the Exchange that the trading window for dealing in the securities of the Company will be closed for all Connected/ Designated Persons from January 01, 2017 and the same will remain closed till 48 hours after the announcement of the unaudited financial results for the quarter and half year ended December 31, 2016 , to the public.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/NSE_30122016174214_316.zip
ULTRACEMCO,21-Oct-2016 10:22:00,"Regulation 44(3) of SEBI (LODR), Reg., 2015","UltraTech Cement Limited has submitted to the Exchange the details of voting results of the Court Convened meeting of the equity shareholders of the Company held on October 20, 2016 along with the Scrutinizer's Report.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/BSENSECCMRESULTS_21102016102226_062.zip
ULTRACEMCO,17-Oct-2016 13:14:04,Financial Result Updates,"UltraTech Cement Limited has submitted to the Exchange the standalone & consolidated financial results along with the Limited Review Report for the period ended September 30, 2016.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/BSENSERESULTS30092016_17102016131404.zip
ULTRACEMCO,06-Oct-2016 19:27:00,Analysts/Institutional Investor Meet/Con. Call Updates,"UltraTech Cement Limited has submitted to the Exchange a copy of a communication being sent out to Analysts regarding a Conference Call on the financial results for the quarter and half year ended September 30, 2016.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/BSENSEearningcall_06102016192742_268.zip
ULTRACEMCO,30-Sep-2016 18:46:00,Trading Window,"UltraTech Cement Limited has informed the Exchange that the trading window for dealing in the securities of the Company will be closed for all Connected/ Designated Persons from October 01, 2016 and the same will remain closed till 48 hours after the announcement of the unaudited financial results for the quarter and half year ended September 30, 2016 , to the public.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/BSENSESHUTPERIOD30092016_30092016184634_726.zip
ULTRACEMCO,19-Jul-2016 13:14:00,Press Release,"UltraTech Cement Limited has informed the Exchange regarding a press release with respect to the Un-audited Financial Results for the Quarter ended June 30, 2016.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/ULTRACEMCO_pr_19072016131433.zip
ULTRACEMCO,19-Jul-2016 13:09:48,Financial Result Updates,"UltraTech Cement Limited has submitted to the Exchange the standalone & consolidated financial results along with the Limited Review Report for the period ended June 30, 2016.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/BSENSERESULT_19072016130948.zip
ULTRACEMCO,09-Jul-2016 14:52:00,Updates,"UltraTech Cement Limited has submitted to the Exchange a copy of Conference call on the financial results of the Company for the quarter ended June 30, 2016.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/BSENSEEARNINGSCALL_09072016145232_103.zip
ULTRACEMCO,04-Jul-2016 18:46:00,Outcome of Board Meeting,UltraTech Cement Limited has informed the Exchange regarding Acquisition of identified cement plants of Jaiprakash Associates Limited (JAL) and Jaypee Cement Corporation Limited (JCCL),https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/BSENSEINTIMATION_04072016184614_616.zip
ULTRACEMCO,30-Jun-2016 17:12:00,Trading Window,"UltraTech Cement Limited has informed the Exchange that In terms of the Company's Code of Conduct for Trading in Listed or Proposed to be Listed Securities, the trading window for dealing in the securities of the Company will be closed for all Connected/ Designated Persons from July 01, 2016 and the same will remain closed till 48 hours after the announcement of the unaudited financial results for the quarter ending June 30, 2016, to the public. Accordingly , all Directors/ Connected Persons/ Designated Persons of the Company have been informed not to trade in the securities of the Company during the aforesaid period of closure of Trading Window.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/BSENSEShutperiod_30062016171241_077.zip
ULTRACEMCO,25-Apr-2016 15:49:09,Financial Result Updates,"UltraTech Cement Limited has submitted to the Exchange the standalone & consolidated financial results along with the Auditors Report for the period ended March 31, 2016.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/UltraTechResultsFY16_25042016154909.zip
ULTRACEMCO,25-Apr-2016 14:43:00,Outcome of Board Meeting,"UltraTech Cement Limited has informed the Exchange the outcome of board meeting held on April 25, 2016.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/UltraTechResultsFY16_25042016144316.zip
ULTRACEMCO,25-Apr-2016 14:38:00,Press Release,"UltraTech Cement Limited has informed the Exchange regarding a press release dated April 25, 2016 titled ""Financial Results for year ended March 31, 2016"".",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/UltraTechResultsFY16_25042016143849.zip
ULTRACEMCO,25-Apr-2016 14:29:13,Financial Result Updates,"UltraTech Cement Limited has submitted to the Exchange the standalone & consolidated financial results along with the Auditors Report for the period ended March 31, 2016.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/UltraTechResultsFY16_25042016142913.zip
ULTRACEMCO,21-Apr-2016 10:02:00,Updates,"UltraTech Cement Limited has submitted to the Exchange a copy of the Communication sent to analysts regarding a conference call on the financial results for the year ended March 31, 2016",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/BSENSEConferenceCall_21042016100215_550.zip
ULTRACEMCO,31-Mar-2016 19:52:00,Trading Window,"UltraTech Cement Limited has informed the Exchange that In terms of the Company's Code of Conduct for Trading in Listed or Proposed to be Listed Securities, the tra.ding window for dealing in the securities of the Company will be closed for all Connected/ Designated Persons from April 01, 2016 and the same will remain closed till 48 hours after the announcement of the audited financial results for the year ending March 31, 2016, to the public.Accordingly, all Directors/ Connected Persons/ Designated Persons of the Company have been informed not to trade in the securities of the Company during the aforesaid period of closure of Trading Window.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/NSE_31032016195230_440.zip
ULTRACEMCO,20-Jan-2016 13:37:00,Press Release,"UltraTech Cement Limited has informed the Exchange regarding a press release dated January 20, 2016 titled "" Un-audited Financial Results for the Quarter ended December 31, 2015"".",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/AA00116D_20012016133701.zip
ULTRACEMCO,20-Jan-2016 13:35:23,Financial Result Updates,UltraTech Cement Limited has submitted to the exchange the standalone & consolidated financial results along with the Limited Review Report for the period ended 31-Dec-2015.,https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/ULTRACEMCO_20012016133523.zip
ULTRACEMCO,11-Jan-2016 08:35:00,Updates,"UltraTech Cement Limited has informed the Exchange regarding conference call on the financial results for the quarter ended December 31, 2015.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/NSE_11012016083542_123.zip
ULTRACEMCO,30-Dec-2015 18:29:00,Trading Window,"UltraTech Cement Limited has informed the Exchange that the trading window for dealing in the securities of the Company will be closed for all Connected/ Designated Persons from January 1, 2016 and the same will remain closed till 48 hours after the announcement of the unaudited financial results for the quarter ending December 31, 2015, to the public.Accordingly, all Directors/ Connected Persons/ Designated Persons of the Company have been informed not to trade in the securities of the Company during the aforesaid period of closure of Trading Window.",https://nsearchives.nseindia.com/corporate/https://nsearchives.nseindia.com/corporate/AA000DDC_30122015182951.zip
