bm_date,bm_purpose,bm_desc,attachment
10-Jul-2026 14:12:53,Outcome of Board Meeting,"Bank of Maharashtra has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",https://nsearchives.nseindia.com/corporate/MAHABANK_10072026141218_LettertoSE_Outcome_of_Board_10072026.pdf
20-Apr-2026 15:02:41,Outcome of Board Meeting,"Bank of Maharashtra has submitted to the Exchange, the Audited financial results for the period ended March 31, 2026.",https://nsearchives.nseindia.com/corporate/MAHABANK_20042026150229_Financial_Results_20042026.pdf
13-Jan-2026 14:16:17,Outcome of Board Meeting,"Bank of Maharashtra has submitted to the Exchange, the financial results for the period ended December 31, 2025 and Declared Interim Dividend",https://nsearchives.nseindia.com/corporate/MAHABANK_13012026141445_BoardMeetingOutcome_13012026.pdf
14-Oct-2025 14:57:48,Outcome of Board Meeting,"Bank of Maharashtra has submitted to the Exchange, the financial results for the period ended September 30, 2025.",https://nsearchives.nseindia.com/corporate/MAHABANK_14102025145512_Outcome_of_Board_Meeting_dated_14102025_0001.pdf
15-Jul-2025 12:51:33,Outcome of Board Meeting,"Bank of Maharashtra has submitted to the Exchange, the financial results for the period ended Jun 30, 2025.",https://nsearchives.nseindia.com/corporate/MAHABANK_15072025124810_LettertoSE_Financialresults_15072025.pdf
12-May-2025 19:26:34,Outcome of Board Meeting,"Bank of Maharashtra has informed the Exchange regarding  Board meeting held on May 12, 2025.",https://nsearchives.nseindia.com/corporate/MAHABANK_12052025192622_LettertoSE__AppointmentofCS_VishalSethia.pdf
25-Apr-2025 15:11:26,Outcome of Board Meeting,"Bank of Maharashtra has informed the Exchange regarding Outcome of Board Meeting held on April 25, 2025.",https://nsearchives.nseindia.com/corporate/MAHABANK_25042025151115_LettertoSE_OutcomeofBM25042025_capitalraising.pdf
25-Apr-2025 14:22:37,Outcome of Board Meeting,"Bank of Maharashtra has informed the Exchange regarding Outcome of Board Meeting held on April 25, 2025.",https://nsearchives.nseindia.com/corporate/MAHABANK_25042025141819_OutcomeofBM_25042025.pdf
15-Jan-2025 14:46:00,Financial Result Updates," Bank of Maharashtra has submitted to the Exchange, the financial results for the period ended December 31, 2024.",https://nsearchives.nseindia.com/corporate/LettertoSE_Outcomeofboardmeeting_15012025144600.pdf
15-Jan-2025 14:44:07,Outcome of Board Meeting,"Bank of Maharashtra has informed the Exchange regarding  Board meeting held on January 15, 2025.",https://nsearchives.nseindia.com/corporate/MAHABANK_15012025144356_LettertoSE_Outcomeofboardmeeting.pdf
17-Dec-2024 16:52:56,Outcome of Board Meeting,"Bank of Maharashtra has informed the Exchange regarding  Board meeting held on December 17, 2024.",https://nsearchives.nseindia.com/corporate/MAHABANK_17122024165256_LettertoSE_ElectionofShareholderDirector.pdf
15-Oct-2024 13:10:54,Outcome of Board Meeting,"Bank of Maharashtra has informed the Exchange regarding  Board meeting held on October 15, 2024.",https://nsearchives.nseindia.com/corporate/MAHABANK_15102024131055_OutocmeofBoardMeeting_30092024.pdf
15-Oct-2024 13:09:00,Financial Result Updates," Bank of Maharashtra has submitted to the Exchange, the financial results for the period ended September 30, 2024.",https://nsearchives.nseindia.com/corporate/OutocmeofBoardMeeting_30092024_15102024130900.pdf
05-Oct-2024 14:38:17,Outcome of Board Meeting,"Bank of Maharashtra has informed the Exchange regarding  Board meeting held on October 05, 2024.",https://nsearchives.nseindia.com/corporate/MAHABANK_05102024143817_LettertoSE_IntimationofAllotment.pdf
04-Oct-2024 21:44:12,Outcome of Board Meeting,"Bank of Maharashtra has informed the Exchange regarding  Board meeting held on October 04, 2024.",https://nsearchives.nseindia.com/corporate/MAHABANK_04102024214412_LettertoSE_PDIssueclosureandpriceintimation.pdf
18-Jul-2024 18:46:58,Outcome of Board Meeting,"Bank of Maharashtra has informed the Exchange regarding Outcome of Board Meeting held on July 18, 2024.",https://nsearchives.nseindia.com/corporate/MAHABANK_18072024184658_LettertoSE_OutcomeofBM18072024.pdf
15-Jul-2024 14:56:59,Financial Result Updates,"Bank of Maharashtra has submitted to the Exchange, the financial results for the period ended June 30, 2024.",https://nsearchives.nseindia.com/corporate/Q1Financials_15072024145659.pdf
15-Jul-2024 13:29:35,Outcome of Board Meeting,"Bank of Maharashtra has informed the Exchange regarding Outcome of Board Meeting held on July 15, 2024.",https://nsearchives.nseindia.com/corporate/MAHABANK_15072024132935_Q1Financials.pdf
12-Jul-2024 21:13:26,Updates,Bank of Maharashtra has informed the Exchange regarding 'Prior Intimation of Board Meeting to be held on 18th July 2024'.,https://nsearchives.nseindia.com/corporate/MAHABANK_12072024211326_BoardmeetingnoticetoSE_12072024.pdf
26-Apr-2024 13:30:08,Financial Result Updates,"Bank of Maharashtra has submitted to the Exchange, the financial results for the period ended March 31, 2024.",https://nsearchives.nseindia.com/corporate/FRfinal_26042024_26042024133008.pdf
16-Jan-2024 16:40:41,Financial Result Updates,"Bank of Maharashtra has submitted to the Exchange, the financial results for the period ended December 31, 2023.",https://nsearchives.nseindia.com/corporate/LettertoSE_OutcomeofBM16012024final_16012024164041.pdf
16-Jan-2024 11:45:22,Outcome of Board Meeting,"Bank of Maharashtra has informed the Exchange regarding  Board meeting held on January 16, 2024.",https://nsearchives.nseindia.com/corporate/MAHABANK_16012024114522_LettertoSE_OutcomeofBM16012024final.pdf
16-Oct-2023 13:42:53,Outcome of Board Meeting,"Bank of Maharashtra has informed the Exchange regarding  Board meeting held on October 16, 2023.",https://nsearchives.nseindia.com/corporate/MAHABANK_16102023134253_LettertoSE_OutcomeofBM16102023.pdf
16-Oct-2023 13:38:36,Financial Result Updates,"Bank of Maharashtra has submitted to the Exchange, the financial results for the period ended September 30, 2023.",https://nsearchives.nseindia.com/corporate/LettertoSE_OutcomeofBM16102023_16102023133836.pdf
19-Jul-2023 12:38:35,Outcome of Board Meeting,"Bank of Maharashtra has informed the Exchange regarding  Board meeting held on July 19, 2023.",https://nsearchives.nseindia.com/corporate/MAHABANK_19072023123835_LettertoSE_OutcomeofBM19072023.pdf
19-Jul-2023 12:30:27,Financial Result Updates,"Bank of Maharashtra has submitted to the Exchange, the financial results for the period ended June 30, 2023.",https://nsearchives.nseindia.com/corporate/LettertoSE_OutcomeofBM19072023_19072023123027.pdf
