Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2023
Equity Capital,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Reserves,20.22,19.86,19.90,18.99,32.16,36.30,37.58,39.36,38.57,48.53,49.95,52.78,59.09
Borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Liabilities,3.05,6.82,2.52,2.66,2.10,2.18,2.48,3.03,2.58,2.98,7.61,12.30,15.86
  └─ Other liability items,3.05,6.82,2.52,2.66,2.10,2.18,2.48,3.03,2.58,2.98,7.61,12.30,15.86
Total Liabilities,24.26,27.67,23.41,22.64,35.25,39.47,41.05,43.38,42.14,52.50,58.55,66.07,75.94
Fixed Assets,2.70,2.98,2.80,2.66,2.58,2.51,2.64,2.71,1.08,0.95,0.95,0.82,0.75
  └─ Land,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,0.00,0.00,0.00,0.00,
  └─ Building,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,
  └─ Plant Machinery,0.09,0.00,0.00,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,
  └─ Computers,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Furniture n fittings,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,
  └─ Vehicles,0.55,0.99,0.99,0.99,0.94,0.94,1.02,1.04,1.14,1.14,1.19,1.19,
  └─ Other fixed assets,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
  └─ Gross Block,3.32,3.78,3.78,3.78,3.73,3.73,3.81,3.83,1.92,1.92,1.97,1.97,
  └─ Accumulated Depreciation,0.62,0.80,0.98,1.12,1.16,1.22,1.16,1.13,0.84,0.96,1.02,1.15,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,11.64,14.05,9.63,5.55,18.14,18.90,24.58,37.40,27.02,49.21,35.33,38.72,54.11
Other Assets,9.92,10.64,10.98,14.43,14.53,18.06,13.83,3.27,14.04,2.34,22.27,26.53,21.08
  └─ Inventories,1.21,4.79,6.15,11.61,13.48,17.34,13.05,0.00,12.45,0.00,20.71,24.55,18.93
  └─ Trade receivables,3.61,2.46,1.90,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Cash Equivalents,0.39,0.29,0.60,0.24,0.35,0.30,0.35,1.61,0.99,1.64,1.02,1.49,1.37
  └─ Loans n Advances,0.52,0.10,0.07,0.07,0.11,-0.02,-0.03,-0.02,-0.01,0.22,0.21,0.20,0.51
  └─ Other asset items,4.19,3.00,2.26,0.81,0.59,0.44,0.46,1.68,0.61,0.48,0.33,0.29,0.27
Total Assets,24.26,27.67,23.41,22.64,35.25,39.47,41.05,43.38,42.14,52.50,58.55,66.07,75.94
