bcEndDate,bcStartDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol,company_name,caBroadcastDate,ca_source
-,-,State Bank of India,15-May-2026,1,-,INE062A01012,-,-,16-May-2026,EQ,Dividend - Rs 17.35 Per Share,SBIN,State Bank of India,,
-,-,State Bank of India,16-May-2025,1,-,INE062A01012,-,-,16-May-2025,EQ,Dividend - Rs 15.90 Per Share,SBIN,State Bank of India,,
-,-,State Bank of India,22-May-2024,1,-,INE062A01012,-,-,22-May-2024,EQ,Dividend - Rs 13.70 Per Share,SBIN,State Bank of India,,
05-Jun-2023,01-Jun-2023,State Bank of India,31-May-2023,1,-,INE062A01012,-,-,-,EQ,Dividend - Rs 11.30 Per Share,SBIN,State Bank of India,,
31-May-2022,27-May-2022,State Bank of India,25-May-2022,1,-,INE062A01012,-,-,-,EQ,Dividend - Rs 7.10 Per Share,SBIN,State Bank of India,,
-,-,State Bank of India,03-Jun-2021,1,-,INE062A01012,-,-,04-Jun-2021,EQ, Dividend - Rs 4 Per Share,SBIN,State Bank of India,,
28-Jun-2018,19-Jun-2018,State Bank of India,15-Jun-2018,1,-,INE062A01012,-,-,-,EQ, Annual General Meeting/ Change In Registrar And Transfer Agent,SBIN,State Bank of India,,
03-Jun-2017,30-May-2017,State Bank of India,26-May-2017,1,-,INE062A01012,-,-,-,EQ, Dividend - Rs 2.60 Per Share (Purpose Revised),SBIN,State Bank of India,,
11-Jun-2016,07-Jun-2016,State Bank of India,03-Jun-2016,1,-,INE062A01012,-,-,-,EQ, Dividend - Rs 2.60/- Per Share,SBIN,State Bank of India,,
03-Jun-2015,30-May-2015,State Bank of India,28-May-2015,1,-,INE062A01012,-,-,-,EQ,Dividend - Rs 3.50/- Per Share (Purpose Revised),SBIN,State Bank of India,,
-,-,State Bank of India,20-Nov-2014,1,-,INE062A01012,-,-,21-Nov-2014,EQ,Face Value Split Rs.10/- To Re.1/- Per Share,SBIN,State Bank of India,,
04-Jun-2014,31-May-2014,State Bank of India,29-May-2014,1,-,INE062A01012,-,-,-,EQ,Annual General Meeting And Dividend Rs 15 Per Share (Purpose Revised),SBIN,State Bank of India,,
17-Mar-2014,13-Mar-2014,State Bank of India,11-Mar-2014,1,-,INE062A01012,-,-,-,EQ,Interim Dividend Rs 15 Per Share,SBIN,State Bank of India,,
03-Jun-2013,30-May-2013,State Bank of India,28-May-2013,1,-,INE062A01012,-,-,-,EQ,Dividend Rs 41.50 Per Share (Purpose Revised),SBIN,State Bank of India,,
31-May-2012,26-May-2012,State Bank of India,24-May-2012,1,-,INE062A01012,-,-,-,EQ,Annual General Meeting And Dividend Rs 35 Per Share (Purpose Revised),SBIN,State Bank of India,,
28-May-2011,24-May-2011,State Bank of India,20-May-2011,1,-,INE062A01012,-,-,-,EQ,Dividend-Rs.30/- Per Share (Purpose Revised),SBIN,State Bank of India,,
16-Jun-2010,11-Jun-2010,State Bank of India,09-Jun-2010,1,-,INE062A01012,-,-,-,EQ,Final Dividend-Rs.20/- Per Share (Purpose Revised),SBIN,State Bank of India,,
13-Feb-2010,09-Feb-2010,State Bank of India,05-Feb-2010,1,-,INE062A01012,-,-,-,EQ,Int Div-Rs.10/- Per Share,SBIN,State Bank of India,,
19-Jun-2009,12-Jun-2009,State Bank of India,10-Jun-2009,1,-,INE062A01012,-,-,-,EQ,Dividend-Rs.29/ Per Share,SBIN,State Bank of India,,
11-Jun-2008,02-Jun-2008,State Bank of India,29-May-2008,1,-,INE062A01012,-,-,-,EQ,Div-Rs.21.50 Per Share,SBIN,State Bank of India,,
,,SBIN,13-Jun-2007,1,,,,,13-Jun-2007,,Dividend - Rs 1.32 Per Share,SBIN,SBIN,,yahoo
