bm_date,bm_purpose,bm_desc,attachment
11-Jul-2026 18:59:55,Outcome of Board Meeting,"LTM Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",https://nsearchives.nseindia.com/corporate/LTI_11072026185944_Stockexchangeoutcome.pdf
23-Apr-2026 17:02:19,Outcome of Board Meeting,"LTM Limited has informed the Exchange regarding appointment of Mr. Vipul Chandra, currently CFO as Whole-Time Director  wef April 23 2026 until April 22 2030 and re-appointment of Mr. James Abraham as Independent Director for a second term wef July 18, 2026  until July 17 2031 subject to approval of shareholders.",https://nsearchives.nseindia.com/corporate/LTI_23042026165901_Outcome_Signed.pdf
23-Apr-2026 16:51:43,Outcome of Board Meeting,"LTM Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026.",https://nsearchives.nseindia.com/corporate/LTI_23042026164819_Outcome_Signed.pdf
19-Jan-2026 16:39:28,Outcome of Board Meeting,"LTIMindtree Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025.",https://nsearchives.nseindia.com/corporate/LTI_19012026163640_Stockexchangeintimationsigned2.pdf
19-Jan-2026 16:27:35,Outcome of Board Meeting,"LTIMindtree Limited has informed the Exchange regarding  Board meeting held on January 19, 2026.",https://nsearchives.nseindia.com/corporate/LTI_19012026162717_Stockexchangeintimationsigned2.pdf
16-Oct-2025 16:46:08,Outcome of Board Meeting,"LTIMindtree Limited has submitted to the Exchange, the unaudited financial results and interim dividend for the period ended September 30, 2025.",https://nsearchives.nseindia.com/corporate/LTI_16102025164510_stockexchangeoutcomefinalsigned.pdf
16-Oct-2025 16:35:25,Dividend,"LTIMindtree Limited has informed regarding outcome of Board meeting held on October 16, 2025.",https://nsearchives.nseindia.com/corporate/LTI_16102025163505_stockexchangeoutcomefinalsigned.pdf
17-Jul-2025 17:01:03,Outcome of Board Meeting,"LTIMindtree Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2025.",https://nsearchives.nseindia.com/corporate/LTI_17072025165756_boardmeetingseintimationsigned.pdf
17-Jul-2025 16:42:37,Outcome of Board Meeting,"LTIMindtree Limited has informed the Exchange regarding  Board meeting held on July 17, 2025.",https://nsearchives.nseindia.com/corporate/LTI_17072025164141_boardmeetingseintimationsigned.pdf
30-May-2025 14:46:28,Outcome of Board Meeting,"LTIMindtree Limited has informed the Exchange regarding Outcome of Board Meeting held on May 30, 2025.",https://nsearchives.nseindia.com/corporate/LTI_30052025144517_SEIntimationoutcomefinal.pdf
23-Apr-2025 16:25:35,Outcome of Board Meeting,"LTIMindtree Limited has informed the Exchange regarding Outcome of Board Meeting held on April 23, 2025.",https://nsearchives.nseindia.com/corporate/LTI_23042025162457_Outcomesigned.pdf
16-Jan-2025 16:53:41,Outcome of Board Meeting,"LTIMindtree Limited has informed the Exchange regarding Outcome of Board Meeting held on January 16, 2025.",https://nsearchives.nseindia.com/corporate/LTI_16012025165300_OutcomeofBoardmeetingsigned__1_.pdf
16-Jan-2025 16:46:47,Financial Result Updates," LTIMindtree Limited has submitted to the Exchange, the financial results for the period ended December 31, 2024.",https://nsearchives.nseindia.com/corporate/OutcomeofBoardmeetingsigned__1__16012025164647.pdf
17-Oct-2024 16:25:14,Financial Result Updates," LTIMindtree Limited has submitted to the Exchange, the financial results for the period ended September 30, 2024.",https://nsearchives.nseindia.com/corporate/OutcomeofBoardmeeting17102024_17102024162514.pdf
17-Jul-2024 16:45:42,Financial Result Updates,"LTIMindtree Limited has submitted to the Exchange, the financial results for the period ended June 30, 2024.",https://nsearchives.nseindia.com/corporate/Outcomeofboardmeetingsigned_17072024164542.pdf
17-Jul-2024 16:38:35,Outcome of Board Meeting,"LTIMindtree Limited has informed the Exchange regarding  Board meeting held on July 17, 2024.",https://nsearchives.nseindia.com/corporate/LTIM_17072024163836_Outcomeofboardmeetingsigned.pdf
16-May-2024 12:33:38,Reply to Clarification- Financial results,"The Exchange had sought clarification from LTIMindtree Limited for the quarter ended 31-Mar-2024 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. The company has not submitted the Statement of Modified Opinion or in case of unmodified opinion(s), a declaration to that effect to the Stock Exchange. -2. Limited Review Report/ Independent Auditor's Report is not in the format prescribed by SEBI The response of the Company is enclosed.",https://nsearchives.nseindia.com/corporate/LTIM_16052024123338_NSEwebsiteSubmissionofresultswithUDIN.pdf
14-May-2024 16:00:26,Clarification - Financial Results,"The Exchange has sought clarification from LTIMindtree Limited for the quarter ended 31-Mar-2024 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. The company has not submitted the Statement of Modified Opinion or in case of unmodified opinion(s), a declaration to that effect to the Stock Exchange. -2. Limited Review Report/ Independent Auditor's Report is not in the format prescribed by SEBI The response of the Company is awaited.",-
24-Apr-2024 16:30:05,Financial Result Updates,"LTIMindtree Limited has submitted to the Exchange, the financial results for the period ended March 31, 2024.",https://nsearchives.nseindia.com/corporate/OutcomeofBoardmeeting240424signed_24042024163005.pdf
17-Jan-2024 16:38:16,Financial Result Updates,"LTIMindtree Limited has submitted to the Exchange, the financial results for the period ended December 31, 2023.",https://nsearchives.nseindia.com/corporate/OutcomeofBoardmeeting170124_17012024163816.pdf
17-Jan-2024 16:35:01,Outcome of Board Meeting,"LTIMindtree Limited has informed the Exchange regarding Outcome of Board Meeting held on January 17, 2024.",https://nsearchives.nseindia.com/corporate/LTIM_17012024163502_OutcomeofBoardmeeting170124.pdf
18-Oct-2023 17:08:00,Financial Result Updates,"LTIMindtree Limited has submitted to the Exchange, the financial results for the period ended September 30, 2023.",https://nsearchives.nseindia.com/corporate/OutcomeofBoardmeeting181023signed_18102023170800.pdf
17-Jul-2023 15:38:08,Financial Result Updates,"LTIMindtree Limited has submitted to the Exchange, the financial results for the period ended June 30, 2023.",https://nsearchives.nseindia.com/corporate/Intimationtostockexchanges_17072023153808.pdf
17-Jul-2023 15:34:44,Outcome of Board Meeting,"LTIMindtree Limited has informed the Exchange regarding  Board meeting held on July 17, 2023.",https://nsearchives.nseindia.com/corporate/LTIM_17072023153444_Intimationtostockexchanges.pdf
27-Apr-2023 17:20:03,Updates,LTIMindtree Limited has informed the Exchange regarding 'Clear copy of Results for Board Meeting held on 27.04.2023'.,https://nsearchives.nseindia.com/corporate/LTIM_27042023172003_Intimationtostockexchanges.pdf
27-Apr-2023 16:33:55,Financial Result Updates,"LTIMindtree Limited has submitted to the Exchange, the financial results for the period ended March 31, 2023.",https://nsearchives.nseindia.com/corporate/Intimationtostockexchanges_27042023163355.pdf
20-Jan-2023 16:55:05,Financial Result Updates,"LTIMindtree Limited has submitted to the Exchange, the financial results for the period ended December 31, 2022.",https://nsearchives.nseindia.com/corporate/Results_20012023165505.pdf
15-Oct-2022 18:52:21,Reply to Clarification Sought- Financial Results,Re-attached submission,https://nsearchives.nseindia.com/corporate/LTI_15102022185221_Outcome of Board meeting.pdf
15-Oct-2022 16:08:48,Outcome of Board Meeting,Larsen & Toubro Infotech Limited  has informed the Exchange about Board Meeting held on 15-Oct-2022 to consider financial statements for the period ended September 2022,https://nsearchives.nseindia.com/corporate/LTI_15102022160848_OutcomeofBoardmeeting.pdf
14-Jul-2022 15:26:21,Outcome of Board Meeting,Larsen & Toubro Infotech Limited  has informed the Exchange about Board Meeting held on 14-Jul-2022 to consider financial statements for the period ended June 2022,https://nsearchives.nseindia.com/corporate/LTI_14072022152621_OutcomeofBoardmeeting.pdf
19-Apr-2022 17:50:22,Financial Result Updates,"Larsen & Toubro Infotech Limited has submitted to the Exchange, the financial results for the period ended March 31, 2022.",https://nsearchives.nseindia.com/corporate/OutcomeofLTIBoardmeeting_19042022175022.pdf
19-Apr-2022 17:40:44,Outcome of Board Meeting,Larsen & Toubro Infotech Limited  has informed the Exchange about Board Meeting held on 19-Apr-2022 to consider financial statements for the period ended March 2022 and Dividend,https://nsearchives.nseindia.com/corporate/LTI_19042022174036_OutcomeofLTIBoardmeeting.pdf
19-Jan-2022 18:12:28,Financial Result Updates,"Larsen & Toubro Infotech Limited has submitted to the Exchange, the financial results for the period ended December 31, 2021.",https://nsearchives.nseindia.com/corporate/BoardMeetingOutcome_19012022181228.pdf
