bm_symbol,bm_date,bm_purpose,bm_desc,sm_indusrty,bm_timestamp,sm_name,sm_isin,diff,sysTime,attFileSize,attachment,intimationType,ixbrl,ixbrlFileSize,meetingType,oriiginalMeetingDate,proposedMeetingDate,symbol,company_name,bm_source
ALLCARGO,14-May-2026,Board Meeting Intimation,ALLCARGO LOGISTICS LIMITED has informed the Exchange about Board Meeting to be held on 14-May-2026 to inter-alia consider and approve the Audited Financial results of the Company for the Yearly ended March 2026 .,Travel And Transport,26-Mar-2026 15:33:16,Allcargo Logistics Limited,INE418H01029,00:00:03,26-Mar-2026 15:33:19,14.24 KB,https://nsearchives.nseindia.com/corporate/xbrl/Boardmeetingpriorintimation_PRIOR_INTIMATION_WebXMLFile_20260326_153314824.xml,,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_20260326_153314_WEB.html,2.99 KB,,,,,,
ALLCARGO,25-May-2025,Outcome of Board Meeting,"Allcargo Logistics Limited has submitted to the Exchange, the financial results for the period ended March 31, 2025.",,,Allcargo Logistics Limited,INE418H01029,,,,,,,,,,,ALLCARGO,,announcements
ALLCARGO,24-May-2025,Board Meeting Intimation,ALLCARGO LOGISTICS LIMITED has informed the Exchange about Board Meeting to be held on 24-May-2025 to inter-alia consider and approve the Audited Financial results of the Company for the Yearly ended March 2025 .,Travel And Transport,21-May-2025 15:18:37,Allcargo Logistics Limited,INE418H01029,00:00:04,21-May-2025 15:18:41,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_55133_1445542_21052025031835_WEB.xml,,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_55133_21052025151834_iXBRL_WEB.html,,,,,,,
ALLCARGO,25-May-2024,Outcome of Board Meeting,"Allcargo Logistics Limited has informed the Exchange regarding Outcome of Board Meeting held on May 25, 2024.",,,Allcargo Logistics Limited,INE418H01029,,,,,,,,,,,ALLCARGO,,announcements
ALLCARGO,30-May-2023,Outcome of Board Meeting,"Allcargo Logistics Limited has informed the Exchange regarding  Board meeting held on May 30, 2023.",,,Allcargo Logistics Limited,INE418H01029,,,,,,,,,,,ALLCARGO,,announcements
ALLCARGO,27-May-2022,Outcome of Board Meeting,Allcargo Logistics Limited  has informed the Exchange about Board Meeting held on 26-May-2022 to consider financial statements for the period ended March 2022 and Fund raising. For further details refer attachment.,,,Allcargo Logistics Limited,INE418H01029,,,,,,,,,,,ALLCARGO,,announcements
ALLCARGO,20-May-2022,Outcome of Board Meeting,Allcargo Logistics Limited  has informed the Exchange about Board Meeting held on 20-May-2022. For further details refer attachment.,,,Allcargo Logistics Limited,INE418H01029,,,,,,,,,,,ALLCARGO,,announcements
ALLCARGO,22-May-2019,Outcome of Board Meeting,"Allcargo Logistics Limited has informed the Exchange regarding  Board meeting held on May 22, 2019.",,,Allcargo Logistics Limited,INE418H01029,,,,,,,,,,,ALLCARGO,,announcements
ALLCARGO,23-May-2018,Outcome of Board Meeting,"Allcargo Logistics Limited has informed the Exchange regarding Outcome of Board Meeting held on May 22, 2018.",,,Allcargo Logistics Limited,INE418H01029,,,,,,,,,,,ALLCARGO,,announcements
ALLCARGO,02-May-2018,Outcome of Board Meeting,"Allcargo Logistics Limited has informed the Exchange regarding Outcome of Board Meeting held on May 02, 2018.",,,Allcargo Logistics Limited,INE418H01029,,,,,,,,,,,ALLCARGO,,announcements
ALLCARGO,23-May-2017,Outcome of Board Meeting,"Allcargo Logistics Limited has informed the Exchange regarding Outcome of Board Meeting held on May 22, 2017.",,,Allcargo Logistics Limited,INE418H01029,,,,,,,,,,,ALLCARGO,,announcements
ALLCARGO,21-May-2016,Outcome of Board Meeting,"Allcargo Logistics Limited has informed the Exchange regarding Outcome of Board meeting of the Company held on May 20, 2016.",,,Allcargo Logistics Limited,INE418H01029,,,,,,,,,,,ALLCARGO,,announcements
ALLCARGO,31-May-2013,Outcome of Board Meeting,"Allcargo Logistics Limited has informed the Exchange that the Committee of the Board of Directors of the Company at their meeting held on May 29, 2013 has issued and allotted 5,380 equity shares of Rs.2 each fully paid of the Company to its employees in exercise of options granted to them under ""Allcargo Employee Stock Option Plan 2006'. Accordingly, with the allotment of 5,380 equity share, the paid up share capital of the Company has been increased from Rs 252,821,746 divided into 126,410,873 equity shares of Rs.2 each fully paid up to Rs.252,832,506 divided into 126,416,253 equity shares of Rs.2 each.",,,Allcargo Logistics Limited,INE418H01029,,,,,,,,,,,ALLCARGO,,announcements
ALLCARGO,31-May-2012,Outcome of Board Meeting,"Allcargo Logistics Limited has informed the Exchange that the Board of Directors of the Company at its Meeting held on May 30, 2012 has approved the following : (1) Appointment of Mr. Hari L Mundra as an Additional Director (Non Executive Independent Director) of the Company; (2) Appointment of Mr. Umesh Shetty as an Additional Director (Whole time Director) of the Company.",,,Allcargo Logistics Limited,INE418H01029,,,,,,,,,,,ALLCARGO,,announcements
