an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
31-Aug-2026 20:06:56,382.26 KB,https://nsearchives.nseindia.com/corporate/MANKIND1_31082026200638_FinalUpdateBroadwayforfiling.pdf,Mankind Pharma Limited has informed the Exchange about General Updates,,,General Updates,00:00:01,31082026200656,31-Aug-2026 20:06:57,382.26 KB,True,,,106763151,,INE634S01028,Mankind Pharma Limited,2026-08-31 20:06:56,MANKIND
30-Aug-2026 22:27:04,422.42 KB,https://nsearchives.nseindia.com/corporate/MANKIND1_30082026222656_Intimation-Bharat_Anand.pdf,"Mankind Pharma Limited has informed the Exchange regarding Cessation of Mr Bharat Anand as Non- Executive Independent Director of the company w.e.f. August 30, 2026.",,,Cessation,00:00:01,30082026222704,30-Aug-2026 22:27:05,422.42 KB,True,,,106761806,,INE634S01028,Mankind Pharma Limited,2026-08-30 22:27:04,MANKIND
26-Aug-2026 16:44:45,767.23 KB,https://nsearchives.nseindia.com/corporate/MANKIND1_26082026164439_Outcome_26082026_sd.pdf,"Please find attached outcome of Board Meeting held today, according consent of the Board of Directors of the Company for the integration of Bharat Serums and Vaccines Limtied, a wholly owned material subsidiary, into the Company by way of voluntary liquidation.",,,Other Restructuring,00:00:01,26082026164445,26-Aug-2026 16:44:46,767.23 KB,True,,,106757509,,INE634S01028,Mankind Pharma Limited,2026-08-26 16:44:45,MANKIND
26-Aug-2026 16:39:57,767.23 KB,https://nsearchives.nseindia.com/corporate/MANKIND1_26082026163943_Outcome_26082026_sd.pdf,"Please find attached outcome of Board Meeting held today, according consent of the Board of Directors of the Company for the integration of Bharat Serums and Vaccines Limtied, a wholly owned material subsidiary, into the Company by way of voluntary liquidation.",,,Outcome of Board Meeting,00:00:01,26082026163957,26-Aug-2026 16:39:58,767.23 KB,True,,,106757501,,INE634S01028,Mankind Pharma Limited,2026-08-26 16:39:57,MANKIND
22-Aug-2026 14:01:19,459.43 KB,https://nsearchives.nseindia.com/corporate/MANKIND1_22082026140028_ESG_Rating_Crisil.pdf,Mankind Pharma Limited has informed the Exchange about General Updates,,,General Updates,00:00:01,22082026140119,22-Aug-2026 14:01:20,459.43 KB,True,,,106753372,,INE634S01028,Mankind Pharma Limited,2026-08-22 14:01:19,MANKIND
20-Aug-2026 13:37:40,610.24 KB,https://nsearchives.nseindia.com/corporate/MANKIND1_20082026133735_Covering_SD.pdf,"Mankind Pharma Limited has informed the Exchange regarding a press release dated August 20, 2026, titled ""Mankind Pharma Enters into Exclusive In-Licensing Agreement for Insulin Degludec and Insulin Degludec + Aspart Combination for India"".",,,Press Release,00:00:02,20082026133740,20-Aug-2026 13:37:42,610.24 KB,True,,,106750834,,INE634S01028,Mankind Pharma Limited,2026-08-20 13:37:40,MANKIND
19-Aug-2026 10:25:52,1.91 MB,https://nsearchives.nseindia.com/corporate/MANKIND1_19082026102533_Covering_sd.pdf,Mankind Pharma Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:00,19082026102552,19-Aug-2026 10:25:52,1.91 MB,True,,,106749263,,INE634S01028,Mankind Pharma Limited,2026-08-19 10:25:52,MANKIND
18-Aug-2026 15:51:43,855.20 KB,https://nsearchives.nseindia.com/corporate/MANKIND1_18082026155056_CoverPB.pdf,Mankind Pharma Limited has informed the Exchange regarding Notice of Postal Ballot,,,Shareholders meeting,00:00:01,18082026155143,18-Aug-2026 15:51:44,855.20 KB,True,,,106748323,,INE634S01028,Mankind Pharma Limited,2026-08-18 15:51:43,MANKIND
17-Aug-2026 23:09:34,395.75 KB,https://nsearchives.nseindia.com/corporate/MANKIND1_17082026230916_Intimation_to_Stk_Exchnage_for_release_of_pledge.pdf,Completion of Realignment of Security Cover in respect of Non-ConvertibleDebentures and Consequent Release of Pledged Shares of Bharat Serums andVaccines Limited,,,General Updates,00:00:01,17082026230934,17-Aug-2026 23:09:35,395.75 KB,True,,,106747707,,INE634S01028,Mankind Pharma Limited,2026-08-17 23:09:34,MANKIND
13-Aug-2026 21:31:20,460.20 KB,https://nsearchives.nseindia.com/corporate/MANKIND1_13082026213112_Intimationsd.pdf,Mankind Pharma Limited has informed the Exchange about Acquisition,,,Acquisition,00:00:00,13082026213120,13-Aug-2026 21:31:20,460.20 KB,True,,,106743110,,INE634S01028,Mankind Pharma Limited,2026-08-13 21:31:20,MANKIND
