bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,Bharti Airtel Limited,18-Jul-2025,5,-,INE397D01024,-,-,18-Jul-2025,EQ,Dividend - Rs 16 Per Share,BHARTIARTL
-,-,,Bharti Airtel Limited,07-Aug-2024,5,-,INE397D01024,-,-,07-Aug-2024,EQ,Dividend - Rs 8 Per Share,BHARTIARTL
-,-,,Bharti Airtel Limited,11-Aug-2023,5,-,INE397D01024,-,-,11-Aug-2023,EQ,Dividend - Rs 4 Per Share,BHARTIARTL
-,-,,Bharti Airtel Limited,01-Aug-2022,5,-,INE397D01024,-,-,02-Aug-2022,EQ,Dividend - Rs 3 Per Share,BHARTIARTL
-,-,,Bharti Airtel Limited,27-Sep-2021,5,-,INE397D01024,-,-,28-Sep-2021,EQ, Rights 1:14 @ Premium Rs 530/-,BHARTIARTL
-,-,,Bharti Airtel Limited,06-Aug-2020,5,-,INE397D01024,-,-,07-Aug-2020,EQ, Dividend - Rs 2 Per Share,BHARTIARTL
-,-,,Bharti Airtel Limited,23-Apr-2019,5,-,INE397D01024,-,-,24-Apr-2019,EQ, Rights 19:67 @ Premium Rs 215 Per Share,BHARTIARTL
-,-,,Bharti Airtel Limited,05-Nov-2018,5,-,INE397D01024,-,-,06-Nov-2018,EQ, Interim Dividend Rs - 2.50 Per Share,BHARTIARTL
08-Aug-2018,04-Aug-2018,,Bharti Airtel Limited,02-Aug-2018,5,-,INE397D01024,-,-,-,EQ, Annual General Meeting/Dividend Rs 2.50 Per Share,BHARTIARTL
-,-,,Bharti Airtel Limited,30-Jan-2018,5,-,INE397D01024,-,-,31-Jan-2018,EQ, Interim Dividend - Rs 2.84 Per Share,BHARTIARTL
24-Jul-2017,15-Jul-2017,,Bharti Airtel Limited,13-Jul-2017,5,-,INE397D01024,-,-,-,EQ, Annual General Meeting/Dividend - Re 1 Per Share,BHARTIARTL
19-Aug-2016,13-Aug-2016,,Bharti Airtel Limited,11-Aug-2016,5,-,INE397D01024,-,-,-,EQ, Annual General Meeting/ Dividend - Rs 1.36/- Per Share,BHARTIARTL
21-Aug-2015,15-Aug-2015,,Bharti Airtel Limited,13-Aug-2015,5,-,INE397D01024,-,-,-,EQ, Dividend - Rs 2.22/- Per Share,BHARTIARTL
01-Sep-2014,23-Aug-2014,,Bharti Airtel Limited,21-Aug-2014,5,-,INE397D01024,-,-,-,EQ,Annual General Meeting / Final Dividend - Rs 1.80/- Per Share / Interim Dividend - Rs 1.63/- Per Share (Purpose Revised),BHARTIARTL
31-May-2013,25-May-2013,,Bharti Airtel Limited,23-May-2013,5,-,INE397D01024,-,-,-,EQ,Annual General Meeting / Dividend Re 1 Per Share,BHARTIARTL
06-Sep-2012,18-Aug-2012,,Bharti Airtel Limited,16-Aug-2012,5,-,INE397D01024,-,-,-,EQ,Annual General Meeting / Dividend Rs 1 Per Share,BHARTIARTL
01-Sep-2011,20-Aug-2011,,Bharti Airtel Limited,17-Aug-2011,5,-,INE397D01024,-,-,-,EQ,Annual General Meeting And Dividend Re.1/- Per Share,BHARTIARTL
01-Sep-2010,21-Aug-2010,,Bharti Airtel Limited,18-Aug-2010,5,-,INE397D01024,-,-,-,EQ,Annual General Meeting And Dividend Re.1/- Per Share,BHARTIARTL
21-Aug-2009,31-Jul-2009,,Bharti Airtel Limited,24-Jul-2009,5,-,INE397D01024,30-Jul-2009,24-Jul-2009,-,EQ,Agm/Div-Rs.2/Fv Rs10tors5,BHARTIARTL
01-Aug-2008,26-Jul-2008,,Bharti Airtel Limited,24-Jul-2008,5,-,INE397D01024,-,-,-,EQ,Annual General Meeting,BHARTIARTL
